StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       01,      00,   201601,   4.12,     43,   -.25,   1.84,   -.76,   1.44,      4,    715,    -.4,   1.74,   2.08,   1.65,   1.11,    .82,    .83,   32.5,   53.5,
       01,      00,   201602,    6.1,   49.7,      0,   1.88,    .68,   1.72,      6,    456,    .56,    .07,   1.78,   1.64,   1.29,    1.1,    .88,   38.1,   61.3,
       01,      00,   201603,   5.66,   59.6,   -.33,   1.35,   -.99,     .7,     49,    239,   -.03,    .24,   -.07,   1.64,   1.29,   1.22,    .87,   47.9,   71.3,
       01,      00,   201604,   5.71,   63.6,   -.12,   1.39,    .53,    .92,     52,    109,    .52,    .25,     .4,   1.64,   1.48,   1.08,    .47,   51.3,   75.8,
       01,      00,   201605,   2.15,   70.2,   -.75,     .6,  -1.93,   -.69,    172,     28,  -1.13,   -.24,   -.26,    .87,   1.01,    .78,    .26,   58.4,   81.9,
       01,      00,   201606,   3.82,   79.2,   -.98,   -.98,   -.92,   -.98,    419,      0,   -.12,   -.91,   -.33,   -.31,   1.06,    .82,    .09,   67.5,   90.9,
       01,      00,   201607,   4.36,   81.8,  -1.52,  -1.52,  -1.93,  -1.52,    515,      0,   -.48,   -.47,  -1.11,   -.33,    .92,    .77,    .18,     71,   92.6,
       01,      00,   201608,   4.77,   81.5,  -1.55,  -1.55,   -.54,  -1.55,    504,      0,    .33,   -.23,   -.31,   -.47,    .58,    .75,     .3,   71.8,   91.2,
       01,      00,   201609,   1.78,   78.5,  -2.37,  -2.37,  -2.95,  -2.37,    393,      0,  -1.09,   -.65,   -.86,   -.88,   -.69,    .63,    .24,   66.2,   90.7,
       01,      00,   201610,    .13,   68.4,  -3.29,  -3.29,   -3.5,  -3.29,    149,     52,  -2.21,  -2.07,  -1.46,  -1.83,   -.99,    .31,    -.1,   53.6,   83.2,
       01,      00,   201611,   2.28,   57.7,  -3.69,  -3.69,  -2.21,  -3.69,     22,    254,   -.74,  -1.87,  -2.06,  -1.72,  -1.47,   -.27,   -.17,   42.6,   72.8,
       01,      00,   201612,   5.32,     50,  -3.54,  -3.54,   -.69,  -3.54,      9,    506,     .2,   -.38,  -1.24,  -1.53,  -1.41,  -1.19,    -.2,   39.6,   60.4,
       01,      00,   201701,   9.39,   52.3,  -2.05,  -2.05,   3.37,   -.66,     32,    448,    1.9,   1.41,     .8,   -.29,   -.86,    -.4,    .25,     42,   62.7,
