StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       03,      00,   201601,   2.07,   39.4,   2.38,   2.38,  -1.42,   1.75,      0,    809,   -.87,    .77,   1.93,   1.14,   1.79,   1.84,   1.33,   29.6,   49.3,
       03,      00,   201602,   2.49,   46.9,    1.6,    1.6,  -1.63,    .27,      1,    524,   -.58,  -1.21,    .32,   1.02,      1,   1.84,   1.35,   35.6,   58.1,
       03,      00,   201603,   9.86,   55.5,   2.77,   2.77,   4.02,   2.77,     27,    338,   2.09,   1.32,     .6,   2.05,   1.67,   2.07,    1.8,   44.1,   66.8,
       03,      00,   201604,   5.99,   62.5,   2.75,   2.75,    .79,   2.75,     44,    132,    .61,   1.64,   1.25,   2.11,   1.61,   2.12,   1.88,   51.5,   73.5,
       03,      00,   201605,   4.64,   67.1,   2.39,   2.39,   -.24,   2.22,    108,     60,   -.15,    .26,   1.25,   1.11,   1.49,   1.45,   1.88,   56.7,   77.5,
       03,      00,   201606,   3.14,   78.9,    1.8,    1.8,  -1.02,   1.15,    409,      0,   -.44,   -.49,   -.02,    .35,   1.62,   1.34,   1.58,   68.8,   89.1,
       03,      00,   201607,   4.91,     82,   1.81,   1.81,    .58,   1.35,    517,      0,    .76,    .15,   -.05,    .88,   1.71,   1.33,   1.69,     72,   91.9,
       03,      00,   201608,    7.6,   79.9,    3.1,    3.1,   4.43,    3.1,    452,      1,    2.1,   2.21,   1.47,   1.68,   1.52,   1.81,   1.97,   71.4,   88.4,
       03,      00,   201609,   1.83,   75.7,    -.5,   2.28,   -1.5,   1.61,    314,      5,  -1.01,    .99,   1.17,    .72,    .84,   1.77,   1.84,   64.2,   87.2,
       03,      00,   201610,   1.64,   66.9,   1.37,   1.37,  -2.03,   -.15,    119,     68,   -.88,  -1.34,    .24,    .15,    .82,   1.52,    1.5,   54.3,   79.5,
       03,      00,   201611,   3.34,   55.6,    .69,    .69,   -1.6,  -1.39,     11,    307,    -.3,   -.93,  -1.34,    .03,    .84,    .82,   1.51,   43.5,   67.6,
       03,      00,   201612,   3.83,   42.5,  -1.68,  -1.68,   -.87,  -1.68,      0,    723,   -.17,   -.38,   -.82,    .07,    .07,    .31,    1.5,   32.8,   52.2,
       03,      00,   201701,   3.08,   45.2,  -1.79,  -1.79,   -.86,  -1.79,      2,    640,   -.26,   -.43,   -.56,    -.3,   -.27,    .42,    1.5,   36.1,   54.3,
