StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   201601,   6.44,   44.6,  -2.27,  -2.27,   2.76,   -.78,      0,    507,    .92,    .92,    .67,    .53,    .61,   -.19,   -.45,   36.2,   52.9,
       04,      00,   201602,   1.22,   51.8,  -2.96,  -2.96,  -2.77,  -2.49,     10,    268,  -1.15,    .11,     .3,    .02,    .07,   -.51,   -.71,   39.4,   64.3,
       04,      00,   201603,   4.93,   52.6,  -2.04,  -2.04,   1.85,   -.86,      7,    333,    .96,   -.07,    .46,    .39,    .44,    .31,   -.52,   41.3,   63.8,
       04,      00,   201604,   1.52,     58,  -2.06,  -2.06,   -.69,  -1.12,     22,    212,    .14,     .8,   -.09,    .43,    .34,     .4,   -.44,   45.5,   70.4,
       04,      00,   201605,    .76,   62.2,  -1.86,  -1.86,   -.06,   -.93,     34,    157,    .03,      0,    .72,    .55,    .35,    .38,   -.38,   49.7,   74.8,
       04,      00,   201606,    .28,   73.5,  -1.86,  -1.86,   -.56,  -1.09,    202,     14,   -.01,   -.08,   -.06,    .39,    .34,    .39,   -.35,   58.7,   88.3,
       04,      00,   201607,    .06,   76.8,  -2.28,  -2.28,  -1.85,     -2,    282,      1,  -1.03,   -.47,   -.28,   -.16,    .39,     .3,   -.37,   61.7,   91.9,
       04,      00,   201608,    .05,   76.2,  -2.54,  -2.54,  -1.48,  -2.54,    268,      0,  -1.22,  -1.95,   -.98,     .6,     .5,     .3,   -.41,   61.2,   91.3,
       04,      00,   201609,     .1,   69.5,  -2.69,  -2.69,  -1.23,  -2.69,    146,     21,   -.98,  -1.59,  -1.81,   -.54,    .28,    .26,    -.5,   54.8,   84.2,
       04,      00,   201610,   3.86,   60.4,    1.6,   -.82,   4.79,   1.26,     48,    126,   2.18,   2.01,   1.85,   1.55,    .38,    .69,   -.16,   48.9,     72,
       04,      00,   201611,   2.28,   52.8,   1.32,   -.84,   -.33,    .99,     10,    266,    .03,   1.19,   1.07,    .91,   1.02,    .76,   -.11,   41.8,   63.8,
       04,      00,   201612,   4.53,   43.5,   1.48,   1.48,    .86,   1.48,      0,    523,     .5,    .27,    .99,    .84,     .7,    .72,   -.34,   33.9,   53.1,
       04,      00,   201701,   9.88,   42.2,    3.7,    3.7,   7.12,    3.7,      0,    574,   1.76,   1.58,   1.43,   1.79,    1.7,   1.31,    .72,   33.9,   50.4,
