StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      00,   201601,   1.02,   25.6,   2.14,   2.14,    .35,   2.14,      0,   1192,    .08,    .57,   1.09,    .28,    2.1,   1.63,   1.26,   13.1,   38.2,
       05,      00,   201602,    .87,   32.3,   1.92,   1.92,      0,   1.85,      0,    891,   -.45,   -.32,    .18,    .38,    .38,   1.43,   1.19,     19,   45.7,
       05,      00,   201603,   1.27,     38,   1.41,   1.41,   -.91,    .87,      0,    839,   -.23,   -.52,   -.45,    .75,    .09,    1.6,   1.32,   23.9,     52,
       05,      00,   201604,   2.79,   43.7,   1.97,   1.97,   2.12,   1.97,      0,    641,   1.14,    .78,    .55,   1.01,    .47,   1.97,   1.95,   30.6,   56.7,
       05,      00,   201605,   2.11,   50.8,   2.01,   2.01,    .72,   2.01,      0,    449,    .25,    .89,    .66,    .65,    .69,    .65,   1.71,   37.4,   64.1,
       05,      00,   201606,   1.38,   66.4,   -.05,   1.75,   -.16,   1.61,    109,     60,   -.05,    .13,    .69,    .32,    .88,    .44,   1.74,   50.4,   82.3,
       05,      00,   201607,   1.68,   69.2,   -.36,   1.26,   -.93,    .63,    158,     12,    -.7,   -.56,   -.22,    .09,    .54,    .19,   1.48,   53.9,   84.4,
       05,      00,   201608,   2.08,   64.5,   -.21,   1.24,    .32,     .7,     63,     57,    .14,   -.35,   -.38,    .21,    .27,    .38,   1.27,   50.3,   78.8,
       05,      00,   201609,      1,   59.7,   -.64,    .67,  -1.34,   -.49,     26,    171,   -.55,   -.32,   -.62,    .13,    -.1,    .48,      1,   44.7,   74.7,
       05,      00,   201610,    .49,   51.8,  -1.46,  -1.46,  -2.67,  -1.46,      1,    399,  -1.34,  -1.29,   -.92,   -.83,   -.45,    .01,    .77,   36.2,   67.3,
       05,      00,   201611,    .94,   40.2,  -1.96,  -1.96,  -1.94,  -1.96,      0,    725,   -.15,  -1.11,  -1.29,  -1.01,    -.4,   -.32,    .71,   26.3,   54.1,
       05,      00,   201612,   1.66,   25.3,    .23,  -1.53,    .68,  -1.14,      0,   1245,   1.13,    .65,   -.41,    -.7,   -.11,   -.28,    .81,   12.8,   37.7,
       05,      00,   201701,   2.32,   25.4,   1.07,   1.07,    2.6,   1.07,      0,   1225,   2.03,   2.07,   1.74,    .32,   -.01,    .23,   1.25,   14.5,   36.3,
