StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       06,      00,   201601,   2.14,   29.5,  -3.61,  -3.61,  -1.55,  -3.61,      0,   1077,   -.92,   -.47,   -1.1,  -1.31,  -1.35,  -1.89,  -1.21,   20.6,   38.3,
       06,      00,   201602,   4.99,   31.8,  -2.43,  -2.43,   2.41,  -1.43,      0,    910,   1.17,    .17,    .19,   -.48,    -.5,  -1.28,  -1.04,   21.1,   42.5,
       06,      00,   201603,   2.16,     43,  -3.09,  -3.09,  -2.73,  -3.09,      0,    666,  -1.18,    .02,   -.61,   -.96,  -1.42,  -1.52,  -1.26,   32.5,   53.5,
       06,      00,   201604,   2.88,   46.6,  -3.23,  -3.23,  -1.36,  -3.23,      0,    539,    -.6,  -1.28,   -.46,  -1.14,  -1.31,  -1.39,  -1.39,   35.1,     58,
       06,      00,   201605,   3.33,   58.1,  -3.19,  -3.19,   -.88,  -3.19,     11,    219,   -.28,   -.61,  -1.24,   -.83,  -1.12,  -1.02,   -1.6,   47.2,     69,
       06,      00,   201606,   1.81,   67.2,   -3.6,   -3.6,  -2.21,   -3.6,     98,     22,  -1.17,  -1.05,  -1.34,  -1.51,   -1.5,  -1.65,   -1.7,   55.6,   78.8,
       06,      00,   201607,   3.32,   74.1,  -3.68,  -3.68,  -1.35,  -3.68,    296,      0,   -.24,  -1.01,     -1,  -1.18,   -1.6,  -1.57,  -1.98,   63.1,   85.1,
       06,      00,   201608,   3.63,   73.7,   -3.8,   -3.8,  -1.52,   -3.8,    289,      0,   -.08,   -.35,   -.97,  -1.57,  -1.28,  -1.37,  -1.86,   63.1,   84.3,
       06,      00,   201609,   1.91,   66.1,  -4.29,  -4.29,  -2.62,  -4.29,     89,     38,     -1,   -.84,   -.96,  -1.67,  -1.72,  -1.67,  -1.75,   55.6,   76.5,
       06,      00,   201610,   3.87,   53.4,  -4.08,  -4.08,    -.7,  -4.08,      0,    341,    .24,   -.57,    -.6,  -1.31,  -1.37,  -1.71,  -1.73,   42.8,     64,
       06,      00,   201611,   3.24,   43.5,  -4.26,  -4.26,  -1.81,  -4.26,      0,    624,   -.41,   -.13,   -.76,   -1.4,  -1.85,  -1.61,  -1.76,   33.3,   53.6,
       06,      00,   201612,   3.49,   32.5,  -4.03,  -4.03,   -.63,  -4.03,      0,    980,   -.21,   -.48,   -.31,   -.92,  -1.57,  -1.69,  -2.25,   23.8,   41.2,
       06,      00,   201701,   3.54,   32.7,  -3.68,  -3.68,    -.2,  -3.68,      0,    977,    .13,   -.12,   -.41,   -.79,  -1.31,  -1.41,  -2.05,   25.1,   40.2,
