StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       07,      00,   201601,   2.75,   34.3,   -.96,   -.96,   -.69,   -.96,      0,    980,   -.34,    .33,    .25,   -.26,    .24,    .14,    .43,   24.9,   43.7,
       07,      00,   201602,    4.1,   38.4,    .41,    .41,   1.22,    .41,      0,    774,    .85,    .32,    .67,    .49,    .78,    .45,    .36,   29.5,   47.3,
       07,      00,   201603,   2.14,   49.7,   -.89,   -.89,  -2.67,   -.89,      2,    491,  -1.18,   -.25,   -.46,    .18,   -.53,    .09,     .2,   39.2,   60.2,
       07,      00,   201604,   2.84,   53.1,  -1.08,  -1.08,   -.84,  -1.08,      0,    367,   -.43,  -1.17,   -.49,   -.14,   -.43,    .01,    .04,   41.7,   64.4,
       07,      00,   201605,   6.45,   61.5,    .93,    .93,   2.78,    .93,     29,    140,   1.65,   1.08,    .28,    .55,     .5,    .73,    .38,   52.7,   70.3,
       07,      00,   201606,   3.69,   72.1,    .88,    .88,    .16,    .88,    214,      0,    .13,   1.22,    .83,    .29,    .51,   -.12,     .5,     62,   82.2,
       07,      00,   201607,   5.53,   79.4,   1.09,   1.09,    .88,   1.09,    436,      0,    .73,    .56,   1.23,    .68,     .6,    .28,    .55,   70.1,   88.7,
       07,      00,   201608,   3.06,   78.5,   -.53,   -.53,  -1.58,   -.53,    414,      0,   -.51,    .01,   -.01,     .1,    .34,    .35,    .49,   68.3,   88.7,
       07,      00,   201609,   9.43,   71.9,   1.73,   1.73,   5.19,   1.73,    207,      4,   2.26,    1.4,   1.41,   1.51,   1.13,   1.17,   1.06,   63.2,   80.6,
       07,      00,   201610,   2.89,   60.1,    .01,   1.57,    .04,   1.51,     24,    196,   -.08,   1.77,   1.19,   1.57,    1.2,   1.06,   1.05,     50,   70.2,
       07,      00,   201611,    .79,   48.8,   -.72,    .68,  -2.17,   -.53,      0,    500,  -1.59,  -1.16,   1.01,    .65,    .64,    .79,    .72,   37.9,   59.6,
       07,      00,   201612,   2.98,   38.9,   -.73,   -.73,   -.24,   -.73,      0,    830,   -.21,  -1.32,  -1.16,    .55,    .84,    .58,    .67,   30.2,   47.6,
       07,      00,   201701,   3.22,   39.1,    -.8,    -.8,   -.44,    -.8,      0,    830,    .04,   -.22,  -1.07,    .26,     .9,    .63,    .46,     32,   46.2,
