StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       08,      00,   201601,   6.07,     57,   1.19,   1.19,   3.58,   1.19,     72,    227,   1.79,   1.54,   1.66,   1.15,    .56,    .41,    .78,   47.2,   66.9,
       08,      00,   201602,   3.29,   59.4,    .03,    1.1,     .1,   1.07,     71,    163,    .17,   1.34,   1.26,    .85,    .83,    .41,    .77,   47.8,     71,
       08,      00,   201603,   3.46,   68.8,   -.34,    .65,  -1.02,   -.14,    216,     35,    .07,    .07,    .91,    .74,    .93,    .63,    .59,   58.1,   79.5,
       08,      00,   201604,   2.94,   71.1,   -.45,   -.45,   -.45,   -.45,    232,      6,    .03,   -.01,      0,   1.05,    .81,    .43,    .34,   59.9,   82.2,
       08,      00,   201605,   4.65,   76.1,   -.18,   -.18,    .68,    .23,    370,      0,    .54,    .33,    .19,    .93,    .71,    .73,    .31,   64.9,   87.4,
       08,      00,   201606,   7.09,   81.9,   -.16,   -.16,    .01,    .21,    517,      0,    .13,    .38,    .27,    .81,    .71,    .89,    .43,   72.2,   91.6,
       08,      00,   201607,   4.87,     84,  -1.17,  -1.17,  -3.08,  -1.17,    595,      0,  -1.82,   -.99,   -.51,   -.38,    .64,    .46,    .17,   74.1,   93.9,
       08,      00,   201608,   8.13,   83.1,     -1,     -1,    .14,   -.82,    565,      0,     .6,   -.68,   -.47,   -.22,    .51,    .38,     .5,   74.3,   91.9,
       08,      00,   201609,   7.43,   81.2,   -.78,   -.78,    .35,   -.29,    501,      0,    .53,     .7,   -.09,    .03,    .52,    .51,    .36,   72.1,   90.3,
       08,      00,   201610,    2.7,   74.8,  -1.15,  -1.15,  -1.33,  -1.15,    348,      2,   -.48,    .05,    .32,   -.17,   -.15,    .67,    .41,   64.5,   85.1,
       08,      00,   201611,    .21,   66.7,  -2.03,  -2.03,     -3,  -2.03,    163,     50,   -2.1,  -1.56,    -.7,   -.85,   -.55,    .13,   -.03,   54.6,   78.8,
       08,      00,   201612,   2.89,     66,  -2.28,  -2.28,  -1.39,  -2.28,    196,     72,    .28,   -.94,  -1.15,   -.89,   -.54,    .05,   -.05,   55.7,   76.3,
       08,      00,   201701,    3.7,   62.7,  -1.98,  -1.98,     .2,  -1.83,    132,    136,    .59,     .5,   -.29,   -.04,   -.43,   -.36,    .05,   51.4,     74,
