StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       09,      00,   201601,   3.81,   44.5,   -.09,   1.85,   -.27,   1.66,      4,    729,   -.16,   1.36,   1.93,   1.61,   1.05,    .87,    .79,   33.9,     55,
       09,      00,   201602,   4.85,     50,    .11,   1.77,    .32,   1.65,      4,    497,    .22,   -.05,   1.31,   1.51,    1.3,    .94,    .88,   38.3,   61.8,
       09,      00,   201603,   3.04,     61,   -.85,    .74,  -2.55,    -.6,     47,    242,   -.87,    -.5,   -.58,   1.15,    .99,    .94,    .76,   48.5,   73.4,
       09,      00,   201604,   4.18,     64,   -.74,    .68,    .06,   -.58,     39,    126,    .32,   -.49,   -.28,   1.11,   1.13,    .67,    .46,   51.6,   76.4,
       09,      00,   201605,   2.82,   70.8,  -1.01,  -1.01,  -1.04,  -1.01,    155,     35,   -.36,   -.13,   -.61,    .35,    .85,    .73,    .34,   58.7,   82.9,
       09,      00,   201606,   4.03,   79.8,   -1.2,   -1.2,   -.88,   -1.2,    399,      0,    -.2,   -.48,   -.27,   -.57,     .8,     .7,    .37,     68,   91.5,
       09,      00,   201607,    2.8,   82.8,  -2.35,  -2.35,  -3.83,  -2.35,    508,      0,  -2.42,  -1.45,  -1.33,  -1.02,    .34,    .46,    .24,   71.4,   94.2,
       09,      00,   201608,   4.01,   81.6,  -2.91,  -2.91,  -2.39,  -2.91,    477,      0,   -.51,  -1.77,  -1.58,  -1.38,    -.3,    .24,    .29,   71.3,     92,
       09,      00,   201609,   3.45,   77.6,  -3.18,  -3.18,  -1.71,  -3.18,    342,      0,   -.07,   -.55,  -1.65,  -1.09,  -1.14,    .17,    .13,   66.2,     89,
       09,      00,   201610,   1.39,   67.9,  -3.67,  -3.67,  -2.47,  -3.67,    110,     69,   -.79,   -.69,     -1,  -1.85,  -1.31,   -.07,      0,   54.5,   81.4,
       09,      00,   201611,    .96,   57.9,  -4.29,  -4.29,  -2.99,  -4.29,     16,    283,  -1.46,  -1.48,  -1.18,  -2.55,  -1.94,   -.85,   -.36,   43.6,   72.2,
       09,      00,   201612,    5.7,   52.2,  -3.74,  -3.74,    .34,  -3.55,      8,    518,    .92,   -.02,   -.42,  -1.48,  -1.21,  -1.32,    -.2,   41.7,   62.7,
       09,      00,   201701,   7.73,     53,  -2.41,  -2.41,   2.81,   -1.1,     24,    478,    1.7,   1.69,    .91,    .18,   -.63,   -.67,    .12,   42.1,   63.8,
