StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       10,      00,   201601,   2.67,   25.8,  -1.52,  -1.52,     .2,   -.66,      0,   1137,   -.14,    .75,    .53,     .5,    .55,   -.12,     .5,   18.4,   33.2,
       10,      00,   201602,   1.65,   31.9,   -1.8,   -1.8,  -1.31,  -1.43,      0,    843,   -.67,   -.64,     .3,    .19,    .09,   -.16,     .1,   22.6,   41.3,
       10,      00,   201603,   3.62,     37,  -1.07,  -1.07,   1.62,   -.03,      0,    743,    1.3,    .49,    .17,    .55,    .75,    .42,    .07,   27.4,   46.7,
       10,      00,   201604,   1.65,     47,  -1.54,  -1.54,  -1.73,  -1.12,      3,    429,   -.39,    .83,    .24,    .49,    .49,    .56,      0,   34.2,   59.7,
       10,      00,   201605,   2.23,   50.7,  -1.39,  -1.39,   -.02,   -.93,     11,    326,    .22,    -.1,    .73,    .62,    .47,    .37,    .15,   38.2,   63.1,
       10,      00,   201606,    .78,   61.2,  -2.04,  -2.04,  -2.38,  -2.04,     96,     95,  -1.23,    -.6,   -.69,   -.43,    .11,    .33,      0,   45.9,   76.5,
       10,      00,   201607,    .72,   64.9,  -2.43,  -2.43,  -1.81,  -2.43,    161,     43,    .03,   -.99,   -.61,   -.32,    .13,    .13,    .08,   49.1,   80.7,
       10,      00,   201608,    .15,   64.8,  -3.01,  -3.01,  -2.49,  -3.01,    154,     43,  -1.81,  -1.02,  -1.48,   -.32,   -.05,   -.07,   -.35,   48.2,   81.4,
       10,      00,   201609,   1.83,   54.7,    .33,  -2.37,      1,   -1.9,     25,    233,    .93,    .12,    .02,   -.65,   -.41,    .07,   -.29,   41.4,   67.9,
       10,      00,   201610,   4.61,   45.8,    1.9,    1.9,    4.8,    1.9,      0,    493,   2.75,   2.67,      2,    .93,    .82,    .86,    .41,   36.1,   55.5,
       10,      00,   201611,   1.45,   38.8,   1.26,   1.26,  -1.32,    .57,      0,    704,   -.99,    1.1,   1.32,    .24,    .53,     .6,    .03,   29.3,   48.3,
       10,      00,   201612,   3.68,   19.2,   1.52,   1.52,   1.18,   1.32,      0,   1356,    .69,   -.16,   1.14,    .96,    .39,     .4,     .1,   10.7,   27.6,
       10,      00,   201701,   3.38,   18.7,    1.8,    1.8,   1.29,    1.8,      0,   1405,    .46,    .67,    .04,   1.05,    .63,    .63,    .36,    9.9,   27.5,
