StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       11,      00,   201601,    .87,   26.8,   3.73,   3.73,   -1.1,   3.25,      0,   1255,  -1.19,   1.55,   2.08,   1.03,   2.53,   1.81,   1.74,   18.9,   34.7,
       11,      00,   201602,   1.34,   33.8,   3.15,   3.15,   -.59,    2.4,      0,    940,   -.54,  -1.29,   1.26,   1.09,    2.4,   1.86,   1.64,   25.4,   42.3,
       11,      00,   201603,   3.41,   47.3,   2.69,   2.69,   -.41,   1.75,      4,    637,    .36,   -.05,   -.66,   1.31,   1.21,   2.32,   2.02,   37.6,     57,
       11,      00,   201604,   3.35,     53,   2.23,   2.23,   -.55,   1.07,      2,    451,   -.14,    .06,   -.18,   1.56,    .77,   2.23,   1.85,   41.5,   64.5,
       11,      00,   201605,   4.41,     62,   2.14,   2.14,    .41,   1.11,     57,    198,    .25,    .03,    .12,    .77,    .87,   1.81,   1.73,   51.4,   72.6,
       11,      00,   201606,   3.17,   74.8,   1.44,   1.44,  -1.44,   -.07,    233,     15,   -.54,   -.23,   -.29,   -.63,    .66,    .71,   1.31,   63.3,   86.2,
       11,      00,   201607,   7.02,   75.7,    2.6,    2.6,   3.93,    2.3,    300,      0,      2,      1,    .82,    .49,    1.6,   1.02,   1.82,   66.4,     85,
       11,      00,   201608,   6.82,   75.7,   3.85,   3.85,   4.55,   3.85,    309,      5,   2.26,   2.86,   1.94,   1.48,    1.8,   1.78,   1.99,   66.6,   84.8,
       11,      00,   201609,   3.46,   70.8,   3.66,   3.66,    .62,   3.66,    160,     24,    .19,   1.38,   2.06,   1.31,    .88,   1.84,   1.86,   60.1,   81.5,
       11,      00,   201610,    2.4,   59.9,   3.24,   3.24,   -.13,   3.13,     25,    253,   -.13,   -.06,   1.05,   1.33,   1.02,   2.01,   1.74,   49.1,   70.7,
       11,      00,   201611,   2.59,     48,   3.01,   3.01,    .31,   2.96,      0,    548,   -.02,    -.2,   -.14,   1.23,   1.04,   1.42,   1.63,   37.7,   58.4,
       11,      00,   201612,   1.42,   28.9,   2.57,   2.57,   -.37,   2.31,      0,   1208,   -.78,   -.47,   -.55,   1.29,    .76,    .48,   1.74,   21.7,   36.1,
       11,      00,   201701,   2.16,   32.1,   2.49,   2.49,    .55,   2.39,      0,   1108,    .28,   -.45,   -.41,    .44,    .86,    .69,    1.8,   24.9,   39.4,
