StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       12,      00,   201601,   1.36,   27.5,   2.36,   2.36,  -1.15,   1.82,      0,   1175,   -.87,     .6,    .62,   -.18,   1.25,   1.17,   1.23,   19.3,   35.8,
       12,      00,   201602,   2.78,     34,   2.37,   2.37,    .76,   2.09,      0,    881,     .6,   -.28,    .74,     .2,   1.52,   1.43,   1.26,   25.1,   42.8,
       12,      00,   201603,   4.49,   47.3,   2.25,   2.25,    .37,   2.05,      8,    569,    .71,    .83,    .17,    .74,    .64,    1.6,   1.52,   37.5,   57.2,
       12,      00,   201604,   4.18,   52.1,   2.12,   2.12,    .32,   1.99,      1,    404,    .35,    .65,    .79,    .97,    .28,   1.59,   1.43,   40.1,     64,
       12,      00,   201605,   3.56,   60.6,   1.73,   1.73,   -.52,   1.32,     51,    195,    -.3,   -.01,    .27,    .64,     .3,   1.48,   1.29,   49.7,   71.5,
       12,      00,   201606,   4.32,   72.9,   1.57,   1.57,    .04,   1.12,    235,     10,     .2,   -.19,    .01,    .01,    .49,    .51,   1.13,   61.3,   84.4,
       12,      00,   201607,   5.19,   74.7,      2,      2,    1.8,      2,    291,      1,    .95,    .66,    .27,    .69,    .91,    .29,   1.44,   64.9,   84.5,
       12,      00,   201608,   6.52,   75.7,   3.23,   3.23,    4.3,   3.23,    327,      1,   2.09,   1.89,   1.67,   1.43,   1.65,   1.21,   1.76,   66.4,     85,
       12,      00,   201609,   3.67,   69.9,    3.2,    3.2,     .9,    3.2,    165,     26,    .37,   1.58,   1.67,   1.17,   1.06,   1.48,   1.81,   58.6,   81.2,
       12,      00,   201610,    2.6,   59.5,   2.91,   2.91,    .12,   2.89,     33,    214,   -.08,     .1,    1.2,   1.03,   1.32,   1.47,    1.7,   48.6,   70.4,
       12,      00,   201611,    2.6,   47.1,    2.6,    2.6,   -.01,   2.53,      0,    546,   -.26,   -.37,   -.11,   1.06,   1.03,   1.25,   1.49,   36.4,   57.7,
       12,      00,   201612,   2.37,   29.8,   2.33,   2.33,   -.02,   2.18,      0,   1110,   -.32,   -.45,   -.52,    .88,    .67,    .65,   1.45,   22.4,   37.2,
       12,      00,   201701,   3.71,   33.9,   2.56,   2.56,   1.42,   2.56,      0,    980,    .76,     .3,    .04,    .74,    .74,   1.03,   1.57,   26.5,   41.4,
