StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       13,      00,   201601,     .6,   19.5,   5.37,   5.37,   -.19,   5.25,      0,   1403,   -.58,   2.67,    2.6,   1.96,   2.17,   1.74,   2.03,   12.3,   26.7,
       13,      00,   201602,    .93,   28.5,   4.94,   4.94,    .38,    4.9,      0,   1021,   -.06,   -.58,   2.53,   1.62,   2.13,   1.75,   2.03,     21,   36.1,
       13,      00,   201603,   2.31,   42.4,   4.36,   4.36,   -.23,   4.17,      5,    707,    .52,    .31,   -.04,   2.01,      2,   2.11,   2.24,     32,   52.8,
       13,      00,   201604,    3.2,   50.1,   4.01,   4.01,    .29,   3.87,      1,    450,    .18,    .34,    .27,   2.18,    1.9,   2.12,    2.3,   39.3,     61,
       13,      00,   201605,   4.43,   59.5,   3.86,   3.86,    .79,   3.86,     47,    216,    .29,    .22,    .33,   1.29,   1.51,   1.98,   2.22,   48.1,   70.9,
       13,      00,   201606,   3.74,     73,   2.93,   2.93,  -1.59,   2.25,    249,     14,   -.45,   -.25,   -.15,   -.16,   1.15,   1.53,    1.5,   61.2,   84.8,
       13,      00,   201607,   5.94,   72.8,   3.59,   3.59,   2.88,   3.59,    255,     11,   1.19,    .55,    .51,    .49,   1.63,   1.55,   1.66,   63.1,   82.6,
       13,      00,   201608,   6.16,   72.1,   4.26,   4.26,   3.12,   4.26,    241,     16,    1.3,   1.54,   1.08,    .97,   1.49,   1.62,   1.58,   62.3,   81.8,
       13,      00,   201609,   6.16,   67.3,   4.99,   4.99,    3.5,   4.99,    128,     53,   1.33,   1.86,   1.93,    1.4,   1.31,   1.96,   1.72,   56.8,   77.8,
       13,      00,   201610,   2.04,   55.3,   4.51,   4.51,    .09,   4.48,     17,    310,   -.16,   1.03,   1.56,   1.33,   1.24,      2,   1.71,   44.2,   66.3,
       13,      00,   201611,   1.39,   45.1,   3.97,   3.97,   -.22,    3.8,      0,    593,   -.11,   -.29,    .79,   1.29,   1.18,   1.61,   1.71,   34.2,   56.1,
       13,      00,   201612,   1.54,   22.9,   3.99,   3.99,    1.3,   3.99,      0,   1299,     .7,    .19,      0,   1.58,   1.18,   1.11,   1.99,   15.3,   30.5,
       13,      00,   201701,   1.59,   24.2,   4.11,   4.11,   1.59,   4.11,      0,   1257,   1.16,   1.12,    .53,    1.5,   1.33,   1.24,    2.1,   17.9,   30.5,
