StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       14,      00,   201601,    .49,     32,   2.27,   2.27,    .24,   2.27,      0,   1039,   -.18,   1.51,   1.85,    .63,    1.5,   1.15,    .54,   21.3,   42.7,
       14,      00,   201602,    .57,   40.8,    1.9,    1.9,   -.41,   1.65,      0,    664,   -.46,   -.61,    .93,     .6,    .51,   1.11,    .51,   27.3,   54.2,
       14,      00,   201603,     .8,   49.7,   1.14,   1.14,   -1.7,    .08,     19,    460,   -.82,   -.98,  -1.01,    .76,    .55,   1.19,    .55,   34.6,   64.8,
       14,      00,   201604,   5.63,   56.3,   2.43,   2.43,   4.24,   2.43,     21,    239,   2.11,   1.28,   1.05,   1.79,   1.03,   1.72,   1.28,   43.1,   69.5,
       14,      00,   201605,   4.62,   61.6,   2.83,   2.83,   1.93,   2.83,     63,    142,    .64,   1.83,   1.29,   1.41,   1.28,   1.07,   1.68,   49.7,   73.5,
       14,      00,   201606,   2.34,   77.5,   1.98,   1.98,  -1.66,   1.23,    395,      0,  -1.05,   -.29,    .83,    .29,    .97,    .87,     .9,   64.5,   90.6,
       14,      00,   201607,   5.18,   79.7,   2.49,   2.49,   2.12,   2.49,    460,      0,   1.11,    .12,    .33,    .76,   1.38,    .91,   1.21,     68,   91.4,
       14,      00,   201608,   4.98,   76.4,   3.23,   3.23,      3,   3.23,    387,      4,   1.42,   1.59,     .7,   1.24,   1.34,   1.32,   1.44,   65.2,   87.7,
       14,      00,   201609,   4.19,   70.8,    3.5,    3.5,   1.82,    3.5,    222,     26,    1.1,   1.71,   1.75,   1.64,   1.24,   1.64,   1.47,   58.4,   83.3,
       14,      00,   201610,   1.45,   61.5,   2.85,   2.85,    -.9,   2.43,     59,    149,   -.38,    .54,   1.18,    .83,   1.13,    1.6,   1.33,   46.9,     76,
       14,      00,   201611,    .48,   49.9,   1.94,   1.94,  -1.82,    .76,      4,    418,   -.72,   -.85,    .09,    .53,   1.03,   1.15,   1.34,   35.9,   63.8,
       14,      00,   201612,    .69,   29.8,   1.64,   1.64,   -.31,    .34,      0,   1057,   -.04,   -.77,   -.87,   1.08,   1.23,    .85,   1.47,   17.6,     42,
       14,      00,   201701,   1.71,     33,   2.08,   2.08,   1.82,   1.43,      0,    958,   1.76,   1.09,    .21,    1.1,     .8,    1.1,   1.68,   22.3,   43.6,
