StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       15,      00,   201601,   1.88,   31.7,   2.81,   2.81,  -1.82,   2.04,      0,   1035,   -1.2,    .24,    .41,    .29,    .97,   1.73,   1.03,   21.9,   41.5,
       15,      00,   201602,   5.03,     39,   2.94,   2.94,   1.27,   2.62,      0,    732,    .93,   -.14,    .61,    .71,   1.62,   2.05,   1.15,   29.7,   48.3,
       15,      00,   201603,   4.32,   51.8,   2.26,   2.26,  -1.13,   1.45,     20,    433,   -.09,     .5,   -.19,     .7,   1.22,   1.68,   1.15,   40.5,   63.1,
       15,      00,   201604,   3.65,   57.4,   1.75,   1.75,   -.82,    .62,     13,    245,   -.22,   -.27,    .27,    .36,    .31,     .9,    .87,   44.3,   70.6,
       15,      00,   201605,   6.22,     63,   2.26,   2.26,   2.07,   1.84,     70,    133,   1.04,    .59,    .34,     .5,    .66,   1.47,   1.19,   52.2,   73.9,
       15,      00,   201606,   3.82,     75,   1.83,   1.83,    -.6,   1.15,    303,      1,   -.22,    .61,    .36,   -.05,    .65,   1.18,   1.18,   63.3,   86.7,
       15,      00,   201607,   8.57,     78,   3.19,   3.19,   4.64,   3.19,    404,      0,   2.36,   1.54,    1.7,   1.23,   1.16,   1.03,   1.84,   68.2,   87.9,
       15,      00,   201608,   5.11,   78.2,   3.49,   3.49,    1.9,   3.49,    410,      0,   1.09,   2.56,   1.83,   1.43,   1.38,   1.37,   1.79,   68.7,   87.6,
       15,      00,   201609,   2.23,   72.3,   -.42,   2.71,  -1.26,   2.15,    232,     13,   -.63,    .24,   1.61,   1.23,    .78,   1.25,   1.61,   59.8,   84.9,
       15,      00,   201610,   1.06,   62.8,   1.62,   1.62,  -2.45,    .05,     68,    137,  -1.36,  -1.34,   -.52,    .97,    .88,    .86,   1.24,     50,   75.5,
       15,      00,   201611,   2.07,     50,     .7,     .7,  -2.26,  -1.66,      1,    455,   -.91,  -1.55,  -1.54,    .16,    .33,     .5,   1.16,   36.8,   63.1,
       15,      00,   201612,    6.1,   37.1,   1.15,   1.15,   1.56,   -.52,      0,    874,   1.14,    .29,   -.36,    .71,    .71,    .44,    1.6,   27.8,   46.3,
       15,      00,   201701,   4.37,   40.9,   1.06,   1.06,    .08,   -.51,      6,    760,    .31,    .85,    .35,    -.1,    .83,    .79,   1.63,     33,   48.8,
