StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       16,      00,   201601,   4.38,   48.8,   1.33,   1.33,   -.56,     .8,     19,    490,   -.19,   -.02,      1,    .84,    .92,   1.03,   1.01,   38.6,     59,
       16,      00,   201602,   3.25,   55.2,    .65,    .65,  -1.63,   -.66,     23,    285,   -.66,   -.63,   -.38,    .96,    .21,   1.11,    .84,   43.6,   66.8,
       16,      00,   201603,  10.89,   63.8,   2.11,   2.11,   4.58,   2.11,    103,    120,   2.32,   1.58,   1.01,   2.16,   1.05,   1.85,   1.39,   53.8,   73.8,
       16,      00,   201604,   6.62,   68.2,   2.31,   2.31,   1.27,   2.31,    140,     29,    .85,   1.97,   1.52,   1.66,   1.71,    1.7,   1.53,   58.6,   77.9,
       16,      00,   201605,   5.86,   73.3,   2.29,   2.29,    .65,   2.29,    273,      2,    .49,    .81,   1.68,   1.06,   1.91,   1.26,   1.34,   63.7,   82.8,
       16,      00,   201606,   6.09,   80.9,   2.46,   2.46,   1.21,   2.46,    486,      0,    .68,    .71,    .92,   1.19,   2.08,    1.3,   1.37,   72.2,   89.7,
       16,      00,   201607,   4.95,   83.8,   2.06,   2.06,   -.42,   1.82,    583,      0,   -.31,    .34,    .49,   1.21,   1.47,   1.49,   1.29,   74.5,     93,
       16,      00,   201608,  13.18,   82.5,   4.68,   4.68,   8.48,   4.68,    545,      0,   3.09,   2.97,   2.24,   2.46,   1.88,   2.69,   1.87,   74.2,   90.8,
       16,      00,   201609,   3.32,   80.2,   4.07,   4.07,   -.39,   3.87,    470,      0,   -.18,    2.2,      2,    1.8,   1.83,   2.52,   1.87,   70.6,   89.8,
       16,      00,   201610,    .43,   71.3,   2.84,   2.84,  -2.42,   1.67,    231,     17,  -2.07,  -1.41,   1.16,   1.13,   1.66,   1.78,    1.6,   58.5,   84.1,
       16,      00,   201611,      3,   62.2,   1.97,   1.97,  -1.75,    .14,     72,    134,   -.44,  -1.42,  -1.33,    .74,   1.65,   1.17,   1.57,   50.1,   74.3,
       16,      00,   201612,   6.32,   54.6,   1.81,   1.81,    .15,    .09,     27,    303,    .61,   -.01,   -.88,    .69,   1.06,   1.29,    1.7,   45.8,   63.4,
       16,      00,   201701,    6.7,   56.8,   1.89,   1.89,     .8,    .48,     67,    290,    .75,    .81,    .31,    .99,   1.09,   1.55,   1.82,   47.5,   66.1,
