StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       17,      00,   201601,    2.5,   20.1,    .82,    .82,   -.94,    .01,      0,   1275,   -.49,     .6,    -.1,    .53,    .64,    .05,    .81,   11.5,   28.8,
       17,      00,   201602,   4.74,   21.9,   1.76,   1.76,   3.08,   1.76,      0,   1095,   1.54,    .81,   1.24,    .92,   1.13,    .59,    .98,   11.4,   32.4,
       17,      00,   201603,   3.75,   29.2,   1.86,   1.86,    .85,   1.86,      0,    988,     .4,   1.23,    .78,    .74,    .89,    .92,    .93,   19.8,   38.7,
       17,      00,   201604,   2.54,   37.4,   -.34,   1.33,  -1.03,    .77,      0,    738,   -.53,   -.09,    .73,    .36,    .73,    .81,    .83,   25.6,   49.1,
       17,      00,   201605,   2.54,   52.8,    -.8,     .7,  -1.48,   -.59,      0,    346,   -.57,   -.78,   -.43,    .49,    .47,    .74,    .67,   41.1,   64.5,
       17,      00,   201606,   3.48,   60.4,    -.9,    -.9,   -.53,    -.9,     14,    120,    -.1,   -.55,   -.82,   -.12,    .16,    .35,    .58,   48.8,     72,
       17,      00,   201607,    3.9,   66.9,    -.8,    -.8,      0,    -.8,    132,     18,    .16,   -.06,    -.4,    .14,    .07,    .43,    .29,   56.1,   77.8,
       17,      00,   201608,   4.13,   66.6,   -.62,   -.62,    .28,   -.62,    127,     25,    .52,    .45,    .26,   -.22,    .46,    .46,    .39,   55.2,     78,
       17,      00,   201609,   1.65,   59.1,  -1.72,  -1.72,  -3.46,  -1.72,     17,    138,  -1.57,   -.72,   -.55,   -.96,   -.41,   -.09,     .4,   47.8,   70.3,
       17,      00,   201610,   4.04,   46.9,  -1.75,  -1.75,   -.63,  -1.75,      0,    504,    .21,   -.76,   -.37,   -.55,   -.17,   -.18,    .13,   37.3,   56.5,
       17,      00,   201611,   3.87,   37.3,  -1.94,  -1.94,  -1.12,  -1.94,      0,    768,    .05,    .21,   -.68,   -.39,   -.63,    .04,    .16,   29.9,   44.6,
       17,      00,   201612,    4.5,   20.4,  -1.38,  -1.38,   1.08,   -.81,      0,   1266,     .7,    .53,    .45,   -.02,   -.41,   -.08,    .08,   11.5,   29.4,
       17,      00,   201701,    3.9,   21.5,   -.91,   -.91,      1,    .17,      0,   1224,    .63,    .89,    .71,    .12,   -.13,    .15,    .13,   13.1,     30,
