StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       18,      00,   201601,   3.13,     32,    .16,    .16,   -.03,   -.43,      0,   1031,    .08,    .64,    .38,   -.03,    .74,    .64,    .77,   22.5,   41.6,
       18,      00,   201602,   4.08,     37,    .65,    .65,    1.5,    .65,      0,    790,    .98,    .69,      1,    .73,   1.24,      1,    .76,   28.1,   45.8,
       18,      00,   201603,   1.85,   49.4,     -1,     -1,  -3.01,     -1,      3,    485,  -1.41,   -.29,   -.25,    .27,   -.24,     .6,    .53,   38.3,   60.4,
       18,      00,   201604,   2.11,     53,  -1.47,  -1.47,  -1.71,  -1.47,      0,    350,  -1.05,  -1.78,   -.87,   -.22,   -.45,     .3,    .21,     41,     65,
       18,      00,   201605,   6.11,   60.9,    .85,    .85,   2.56,    .85,     31,    152,   1.46,    .56,   -.29,    .44,    .42,     .9,    .29,   52.1,   69.8,
       18,      00,   201606,   4.19,   72.1,    .93,    .93,    .49,    .93,    226,      1,    .33,   1.18,    .53,     .2,    .44,   -.07,    .33,   61.7,   82.5,
       18,      00,   201607,   4.85,   78.3,   1.03,   1.03,     .6,   1.03,    418,      0,    .52,     .5,   1.12,    .34,    .45,    .17,    .51,   68.5,   88.1,
       18,      00,   201608,    2.8,   77.9,   -.66,   -.66,  -1.98,   -.66,    406,      0,    -.7,   -.24,   -.12,   -.34,     .2,    .25,    .47,   67.8,     88,
       18,      00,   201609,   6.23,   71.5,    .65,    .65,   1.96,    .65,    210,      6,   1.28,    .53,     .6,    .74,    .47,    .62,    .82,     62,     81,
       18,      00,   201610,   2.18,   59.4,    -.5,    -.5,  -1.51,    -.5,     25,    198,   -.54,    .73,    .14,    .77,    .28,    .38,    .65,   49.1,   69.7,
       18,      00,   201611,    .99,   47.6,  -1.44,  -1.44,  -2.98,  -1.44,      0,    524,  -1.47,  -1.37,   -.08,   -.17,   -.34,    .12,    .39,   36.2,   58.9,
       18,      00,   201612,   3.32,     38,  -1.58,  -1.58,   -.85,  -1.58,      0,    840,    .11,   -.92,  -1.15,   -.29,    .08,   -.07,     .4,   29.4,   46.5,
       18,      00,   201701,   3.11,   38.2,  -1.55,  -1.55,   -.39,  -1.55,      0,    832,    .06,    .02,   -.77,   -.52,    .26,   -.14,     .3,   31.2,   45.1,
