StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       19,      00,   201601,   2.52,   28.5,  -1.76,  -1.76,  -1.27,  -1.76,      0,   1096,   -.64,    .04,   -.54,    -.4,   -.41,   -.87,   -.04,   20.2,   36.9,
       19,      00,   201602,   4.71,   30.9,    -.9,    -.9,   2.03,    .16,      0,    928,   1.12,    .28,    .56,    .09,    .33,   -.59,    .01,   20.2,   41.7,
       19,      00,   201603,   3.05,     41,  -1.35,  -1.35,  -1.63,  -1.03,      0,    728,   -.45,    .35,   -.09,    -.2,   -.43,   -.53,   -.14,     31,     51,
       19,      00,   201604,   2.95,   44.9,   -1.6,   -1.6,  -1.15,   -1.6,      0,    588,   -.49,   -.76,   -.11,    -.5,   -.52,    -.5,   -.25,   33.4,   56.4,
       19,      00,   201605,   3.01,   57.2,  -1.76,  -1.76,   -.99,  -1.76,      6,    242,   -.33,   -.59,   -.85,   -.29,   -.46,   -.19,   -.32,   46.4,     68,
       19,      00,   201606,   1.78,     66,  -2.33,  -2.33,  -2.26,  -2.33,     79,     35,  -1.25,   -1.2,  -1.27,   -1.1,   -.87,   -.95,   -.42,   54.1,   77.9,
       19,      00,   201607,   2.26,   72.6,  -2.91,  -2.91,  -2.45,  -2.91,    258,      0,  -1.12,  -1.81,  -1.57,  -1.15,  -1.27,  -1.08,   -.87,   60.9,   84.3,
       19,      00,   201608,   3.19,   72.5,  -3.29,  -3.29,  -2.04,  -3.29,    256,      0,   -.25,  -1.01,  -1.59,  -1.61,  -1.13,  -1.02,   -.83,     61,   83.9,
       19,      00,   201609,   2.41,   64.5,  -3.72,  -3.72,  -2.32,  -3.72,     62,     57,   -.59,   -.74,  -1.33,  -1.79,  -1.61,   -1.3,   -.72,   53.7,   75.2,
       19,      00,   201610,   4.89,   52.2,  -3.19,  -3.19,    .44,  -2.96,      0,    371,    .73,    .08,   -.12,  -1.17,  -1.07,  -1.16,   -.84,     42,   62.4,
       19,      00,   201611,   2.57,   42.3,  -3.63,  -3.63,  -2.32,  -3.63,      0,    653,   -.79,    .01,   -.45,  -1.44,  -1.63,  -1.23,  -1.07,   32.5,     52,
       19,      00,   201612,   3.69,   30.9,  -3.35,  -3.35,   -.27,  -3.35,      0,   1019,   -.04,   -.64,   -.08,   -.89,  -1.44,   -1.4,  -1.26,   22.3,   39.6,
       19,      00,   201701,   4.09,   31.4,  -2.85,  -2.85,    .46,  -2.61,      0,   1007,    .49,    .24,   -.33,    -.4,  -1.18,  -1.11,   -1.2,   23.8,     39,
