StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       20,      00,   201601,   1.76,   22.3,    .81,    .81,    .08,    .81,      0,   1234,      0,   1.47,   1.39,    .53,    .92,    .21,   1.07,   15.8,   28.8,
       20,      00,   201602,   1.92,   25.3,   1.03,   1.03,    .92,   1.03,      0,   1022,    .69,    .36,   1.46,    .67,    .68,     .5,   1.16,   17.3,   33.3,
       20,      00,   201603,   3.68,     36,   1.82,   1.82,   2.69,   1.82,      0,    779,   1.98,   1.88,   1.42,    1.9,    .96,   1.42,   1.73,   26.6,   45.4,
       20,      00,   201604,   2.81,   40.9,   1.86,   1.86,    .68,   1.86,      0,    622,     .3,   1.48,    1.5,   2.09,   1.27,   1.56,   1.72,   30.4,   51.4,
       20,      00,   201605,   2.63,   55.5,   1.31,   1.31,  -1.09,    .72,     32,    251,   -.47,   -.18,    .85,   1.49,      1,    .98,   1.33,     43,     68,
       20,      00,   201606,   2.48,   64.7,    .56,    .56,  -1.82,   -.91,    126,     44,   -.78,   -.92,   -.61,    .34,    .93,    .48,    .81,   52.3,     77,
       20,      00,   201607,   3.89,   70.3,    .83,    .83,    .98,   -.16,    251,      5,    .92,    .02,   -.32,    .73,   1.42,     .9,    .93,   58.9,   81.7,
       20,      00,   201608,    5.1,   70.7,   1.55,   1.55,   2.41,   1.49,    264,      6,   1.88,   2.08,   1.35,   1.81,   2.15,   1.56,   1.31,   60.1,   81.4,
       20,      00,   201609,   3.97,   63.5,    1.4,    1.4,    .03,   1.28,     86,     60,    .59,   1.57,   1.81,    .95,    1.8,   1.96,    1.4,   53.3,   73.7,
       20,      00,   201610,   3.46,   51.6,   1.48,   1.48,    .67,   1.48,      9,    347,    .65,    .79,    1.6,   1.18,   1.86,   2.13,   1.26,   42.2,     61,
       20,      00,   201611,   2.02,   42.7,    .75,    .75,  -1.73,   -.26,      0,    613,    -.6,    .15,    .42,    1.1,   1.47,   1.91,    .95,   33.7,   51.8,
       20,      00,   201612,   2.32,     25,     .9,     .9,     .7,    .24,      0,   1173,    .44,   -.21,    .23,   1.46,    .87,   1.51,   1.07,   19.1,     31,
       20,      00,   201701,    2.8,   25.3,   1.56,   1.56,   2.25,   1.56,      0,   1128,   1.27,   1.15,    .42,   1.54,   1.22,   1.86,    1.4,   19.2,   31.4,
