StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       21,      00,   201601,    .55,   12.5,    2.4,    2.4,    .28,    2.4,      0,   1593,   -.34,   1.27,   1.83,   1.06,   1.44,    .84,   1.02,    4.9,   20.2,
       21,      00,   201602,    .76,   19.9,   2.42,   2.42,    .79,   2.42,      0,   1229,    .31,   -.21,   1.22,   1.03,    .93,    .93,      1,   11.4,   28.5,
       21,      00,   201603,   1.99,   35.7,   2.59,   2.59,   1.26,   2.59,      0,    869,   1.28,   1.13,    .72,   1.62,   1.38,   1.38,   1.26,   26.4,   45.1,
       21,      00,   201604,   2.22,   42.5,   2.35,   2.35,    .09,   2.33,      0,    639,    .26,    .81,     .8,   1.91,   1.36,   1.75,   1.06,   32.2,   52.8,
       21,      00,   201605,   2.55,   56.7,   1.66,   1.66,  -1.36,    .98,     26,    283,   -.48,   -.28,    .17,    .62,    .95,    .93,    .88,     44,   69.4,
       21,      00,   201606,   4.22,   65.5,   1.46,   1.46,   -.08,    .71,    106,     77,    .08,    -.3,    -.2,    .03,    .97,   1.06,    .03,   54.4,   76.7,
       21,      00,   201607,    6.1,   69.3,    2.8,    2.8,   4.47,    2.8,    178,     24,   1.85,   1.41,    .86,   1.04,    1.9,   1.71,    .81,   58.8,   79.8,
       21,      00,   201608,   5.39,   68.2,    3.7,    3.7,   3.56,    3.7,    154,     32,   1.63,   2.38,   2.07,   1.69,   2.06,   2.06,   1.18,   57.5,   78.9,
       21,      00,   201609,   4.59,   60.7,   4.44,   4.44,   3.38,   4.44,     41,    144,   1.33,   1.83,   2.44,   1.78,   1.93,   2.34,   1.78,   51.2,   70.2,
       21,      00,   201610,   2.18,   48.2,   4.41,   4.41,   1.27,   4.41,      1,    492,    .31,   1.06,   1.67,   1.95,   2.06,   2.86,    2.3,   38.6,   57.7,
       21,      00,   201611,   1.77,   40.1,   4.36,   4.36,    1.2,   4.36,      0,    731,    .73,    .55,   1.17,   2.53,   2.11,   2.46,   2.41,   31.3,   48.9,
       21,      00,   201612,   1.61,   15.2,   4.81,   4.81,   2.71,   4.81,      0,   1487,   1.66,    1.3,    .92,   2.57,   2.15,    2.3,   2.21,    7.7,   22.7,
       21,      00,   201701,      1,   14.7,   4.76,   4.76,   1.33,   4.76,      0,   1509,    .71,   1.45,   1.28,   1.97,   2.19,   2.33,   2.24,      7,   22.3,
