StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       23,      00,   201601,    .91,   30.9,   4.47,   4.47,   -.88,   4.08,      0,   1086,   -.99,   1.97,   2.66,   1.43,    2.6,   2.08,   1.35,   21.7,   40.2,
       23,      00,   201602,   1.03,     39,   3.53,   3.53,  -1.44,   2.56,      0,    750,  -1.07,  -1.53,    1.6,   1.19,   2.17,   2.08,   1.34,   28.5,   49.6,
       23,      00,   201603,   3.02,   50.4,    2.8,    2.8,  -1.08,   1.41,     18,    485,   -.02,   -.64,  -1.15,   1.73,   1.79,   2.41,   1.56,   39.1,   61.7,
       23,      00,   201604,   3.76,   57.3,    2.4,    2.4,   -.34,     .9,     15,    262,      0,   -.04,   -.47,   1.87,    .89,   2.22,   1.38,   45.5,   69.1,
       23,      00,   201605,   5.84,   62.7,   2.64,   2.64,   1.46,   1.64,     68,    143,    .62,    .37,    .27,    .94,    .99,   1.86,   1.61,   51.7,   73.8,
       23,      00,   201606,   2.48,   76.9,   1.57,   1.57,  -2.39,   -.21,    357,      0,  -1.21,   -.37,   -.38,   -.83,     .9,   1.14,   1.26,   65.7,   88.1,
       23,      00,   201607,   6.79,   78.1,   2.43,   2.43,   3.06,   1.63,    395,      0,   1.53,    .38,    .51,    .11,   1.62,    .95,   1.78,   68.5,   87.8,
       23,      00,   201608,   6.72,   76.7,   3.37,   3.37,   3.57,   3.37,    358,      4,   1.89,   2.45,   1.21,    .91,   1.38,   1.41,   1.97,   67.3,     86,
       23,      00,   201609,   4.48,   71.8,   3.34,   3.34,    .94,   3.34,    219,     21,    .39,   1.32,    1.8,   1.06,    .51,   1.67,   2.02,   60.7,   82.9,
       23,      00,   201610,    2.3,   62.1,   -.31,   2.69,   -.92,   2.26,     56,    158,   -.42,   -.04,    .85,     .9,    .55,   1.77,   1.68,   50.7,   73.6,
       23,      00,   201611,   1.51,     51,   -.79,    1.9,  -1.54,    .81,      5,    436,   -.82,  -1.03,   -.54,    .46,    .45,    .87,   1.56,   39.3,   62.6,
       23,      00,   201612,    1.3,   32.4,   -1.1,   1.31,  -1.17,   -.24,      0,   1042,   -.89,  -1.19,  -1.26,    .71,    .27,   -.08,   1.44,   22.9,   41.8,
       23,      00,   201701,    1.9,   35.4,   -.94,   1.22,    .14,   -.22,      0,    950,     .1,   -.68,  -1.03,   -.03,    .31,    .06,   1.53,   26.7,   44.1,
