StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       24,      00,   201601,    .93,   23.5,  -1.97,  -1.97,  -1.29,  -1.97,      0,   1233,   -.67,    .04,    .09,   -.16,   -.43,   -.81,    .17,   14.9,   32.1,
       24,      00,   201602,    .85,   33.6,   -2.3,   -2.3,  -1.58,   -2.3,      2,    886,   -.45,   -.83,   -.23,   -.16,   -.58,   -.79,   -.08,   23.3,     44,
       24,      00,   201603,   1.37,   37.4,  -2.84,  -2.84,  -2.34,  -2.84,      0,    890,    .26,   -.14,   -.58,      0,   -.02,   -.64,   -.31,   25.4,   49.4,
       24,      00,   201604,   2.37,   45.1,  -2.51,  -2.51,    .11,   -2.4,      0,    606,   1.45,   1.27,    .88,    .44,     .2,   -.14,   -.03,   32.6,   57.5,
       24,      00,   201605,    3.1,     51,  -1.85,  -1.85,   1.21,  -1.18,      1,    483,     .7,   1.19,   1.18,    .77,    .62,     .1,    .25,   38.4,   63.6,
       24,      00,   201606,   1.55,   62.4,   -2.6,   -2.6,  -2.83,   -2.6,     45,    177,  -1.29,    -.4,    .12,   -.22,   -.01,      0,   -.19,   47.3,   77.5,
       24,      00,   201607,   2.07,   65.9,  -2.22,  -2.22,    .34,  -2.01,     74,    108,    .81,   -.52,   -.03,    .32,    .25,    .12,    .19,   51.2,   80.6,
       24,      00,   201608,   1.07,   64.4,  -2.32,  -2.32,   -.99,  -2.32,     55,    123,   -.23,    .37,   -.64,    .25,    .11,    .07,   -.49,     49,   79.8,
       24,      00,   201609,   2.46,   54.8,    .66,  -1.42,   1.97,   -.49,      9,    364,   1.31,    .81,   1.04,     .7,    .42,    .52,   -.22,   42.6,   66.9,
       24,      00,   201610,   3.37,   44.3,    2.2,    2.2,   4.84,    2.2,      0,    659,   2.99,   2.95,   2.17,   1.29,   1.57,   1.32,    .48,     34,   54.6,
       24,      00,   201611,    .65,   39.2,   1.31,   1.31,     -2,    .35,      0,    796,   -1.1,   1.65,   1.91,    .77,   1.24,   1.05,    .09,   28.3,     50,
       24,      00,   201612,   1.51,   14.2,   1.44,   1.44,    .79,     .8,      0,   1536,    .53,   -.35,   1.51,   1.68,   1.27,   1.01,    .11,    5.3,     23,
       24,      00,   201701,    .93,   15.2,   1.16,   1.16,   -.39,    .32,      0,   1511,   -.67,   -.08,   -.65,   1.21,    .78,      1,    .09,    5.9,   24.5,
