StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       25,      00,   201601,     .4,     26,   4.08,   4.08,    .53,   4.08,      0,   1247,   -.11,   1.53,   1.99,   1.34,   1.78,   1.44,   1.44,   16.4,   35.6,
       25,      00,   201602,    .83,     35,   4.03,   4.03,   1.11,   4.03,      0,    867,    .53,    .27,   1.56,   1.46,   1.39,   1.49,   1.54,   23.9,   46.1,
       25,      00,   201603,   1.17,   43.9,   3.47,   3.47,   -.42,   3.25,     10,    622,    .12,    .22,    .15,   1.28,   1.13,    1.8,   1.66,   29.1,   58.6,
       25,      00,   201604,   5.22,   49.9,   5.06,   5.06,   5.84,   5.06,      5,    392,   2.19,   1.83,   1.81,   2.39,   2.12,   2.37,   2.94,   37.5,   62.2,
       25,      00,   201605,   4.41,   57.3,   5.43,   5.43,   2.66,   5.43,     46,    220,    .73,   1.91,   1.68,   1.99,   2.09,   2.08,   2.98,   44.7,   69.8,
       25,      00,   201606,   2.22,   73.3,    4.1,    4.1,   -2.3,   3.19,    317,     10,   -1.2,   -.22,    .98,    .91,   1.42,   1.45,   1.73,   59.2,   87.4,
       25,      00,   201607,   3.55,   74.1,   4.22,   4.22,   1.62,   3.86,    318,     10,    .56,    -.4,    .06,    .99,   1.57,   1.49,      2,   61.7,   86.5,
       25,      00,   201608,   2.57,   71.8,   3.97,   3.97,    .57,   3.77,    259,     15,   -.09,    .33,   -.41,    .86,   1.14,   1.37,   1.52,   59.5,   84.1,
       25,      00,   201609,   2.25,   64.9,   3.64,   3.64,    .22,   3.45,    129,     72,    .27,    .06,    .34,    .89,    .84,   1.27,    1.4,   51.6,   78.2,
       25,      00,   201610,   1.16,   55.3,   3.03,   3.03,   -.71,   2.52,     14,    291,    -.2,   -.04,   -.14,   -.04,    .71,   1.19,    1.4,   40.5,   70.1,
       25,      00,   201611,    .87,   44.3,    2.4,    2.4,   -.95,    1.5,      0,    584,    .29,   -.16,   -.01,   -.41,    .66,    .92,   1.49,   30.9,   57.7,
       25,      00,   201612,    .83,   23.7,   2.32,   2.32,     .5,   1.57,      0,   1242,    .69,     .5,    .04,    .21,    .77,    .73,   1.52,   11.9,   35.6,
       25,      00,   201701,   1.02,   24.7,   2.51,   2.51,   1.29,   2.16,      0,   1217,   1.56,   1.33,    .99,     .3,    .18,    .88,   1.67,   15.3,   34.1,
