StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       26,      00,   201601,   1.76,   30.9,   2.04,  -1.47,   2.33,   1.12,      0,    734,    .94,    .94,   1.12,   1.34,   1.86,   1.11,    .66,   21.6,   40.1,
       26,      00,   201602,    .48,     38,    -.4,  -1.72,   -1.2,    .35,      8,    435,  -1.02,    .17,    .38,   1.07,   1.14,   1.08,    .45,   25.7,   50.4,
       26,      00,   201603,   1.03,   44.2,   -.62,   -1.8,   -.78,   -.06,     23,    354,    .13,   -.64,    .11,   1.08,   1.14,   1.34,    .45,     32,   56.3,
       26,      00,   201604,   1.59,   50.1,    -.2,  -1.26,   1.05,    .69,     55,    225,   1.26,    .87,    .12,     .9,   1.13,   1.66,    .79,   37.4,   62.9,
       26,      00,   201605,   1.02,   55.1,   -.01,   -.96,    .53,   1.01,    134,    123,    .31,    .88,     .7,    .67,    1.2,   1.29,    .87,     42,   68.1,
       26,      00,   201606,    .44,   69.7,   -.24,  -1.09,    -.7,    .58,    507,     15,   -.14,   -.04,    .56,    .37,   1.14,   1.22,    .98,   53.4,     86,
       26,      00,   201607,    .21,   73.8,   -.84,  -1.61,  -1.89,   -.44,    604,      2,  -1.02,   -.77,   -.41,   -.26,    .55,    .81,    .82,     57,   90.5,
       26,      00,   201608,    .33,   72.1,  -1.29,  -1.98,   -1.6,     -1,    520,      3,   -.45,  -1.06,   -.96,    .03,    .19,    .74,    .49,   55.6,   88.7,
       26,      00,   201609,    .63,   62.2,  -1.13,  -1.74,    .09,   -.76,    261,     38,     .5,   -.14,   -.55,    .12,    .08,    .85,    .31,   46.7,   77.8,
       26,      00,   201610,   1.41,   53.2,    -.5,  -1.05,   1.54,    .23,    118,    148,    1.1,      1,    .59,    .08,     .1,    .66,    .69,   39.9,   66.4,
       26,      00,   201611,    .49,   43.3,  -1.12,  -1.62,  -2.03,   -.69,     10,    371,   -.67,    .42,    .47,    -.2,    .25,     .3,     .6,   30.5,   56.1,
       26,      00,   201612,   1.98,   30.4,     .8,   -.66,   2.39,    .73,      0,    757,   1.43,    .68,   1.11,    .56,    .76,    .62,    .74,   19.7,   41.1,
       26,      00,   201701,    2.9,   28.7,   2.44,   2.44,   5.18,   2.44,      0,    776,   1.93,    2.1,   1.76,    1.7,   1.22,   1.07,   1.41,   19.8,   37.6,
