StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       27,      00,   201601,   1.99,   22.8,    .01,    .01,  -1.61,   -.67,      0,   1256,   -.91,    .36,   -.31,    .22,     .4,   -.16,    .45,   14.2,   31.3,
       27,      00,   201602,   4.79,   25.5,    .95,    .95,   2.83,    .95,      0,   1071,   1.43,    .44,   1.07,    .72,   1.08,    .25,    .57,   14.8,   36.2,
       27,      00,   201603,   3.51,   35.2,   -.12,   -.12,   -.36,    .73,      0,    872,    .08,    .94,    .33,    .33,    .41,    .52,    .46,   24.8,   45.6,
       27,      00,   201604,   2.51,   40.2,   -.59,   -.59,  -1.45,   -.59,      0,    697,   -.71,   -.48,     .4,   -.02,    .24,    .44,    .38,   27.3,   53.1,
       27,      00,   201605,   2.51,   54.8,  -1.11,  -1.11,  -1.74,  -1.11,      6,    296,   -.66,   -.92,   -.82,    .09,    .08,     .5,    .17,   42.6,     67,
       27,      00,   201606,    2.9,   62.7,  -1.54,  -1.54,  -1.62,  -1.54,     40,     74,   -.59,   -.97,  -1.17,   -.75,    -.4,   -.24,    .06,   49.9,   75.4,
       27,      00,   201607,   3.46,   68.5,  -1.77,  -1.77,  -1.17,  -1.77,    158,     11,   -.33,   -.75,  -1.09,   -.54,   -.65,   -.26,    -.3,   56.2,   80.8,
       27,      00,   201608,   4.17,   68.2,  -1.74,  -1.74,   -.46,  -1.74,    155,     17,    .35,    .01,   -.49,  -1.05,   -.26,   -.15,   -.22,   56.2,   80.3,
       27,      00,   201609,    2.2,   60.5,  -2.47,  -2.47,  -2.73,  -2.47,     23,    126,   -.92,   -.49,   -.73,  -1.44,  -1.12,    -.7,   -.14,   48.3,   72.7,
       27,      00,   201610,   4.64,     48,  -2.16,  -2.16,    .18,  -2.02,      0,    504,    .61,   -.18,   -.01,   -.78,   -.49,   -.59,   -.28,   38.1,   57.9,
       27,      00,   201611,   3.08,   37.9,  -2.56,  -2.56,  -1.87,  -2.56,      0,    786,   -.47,    .13,   -.53,   -.78,  -1.19,    -.5,   -.31,     29,   46.8,
       27,      00,   201612,   4.22,   24.4,  -2.08,  -2.08,    .64,  -1.74,      0,   1222,    .45,   -.03,    .31,   -.26,   -.87,   -.67,   -.35,   15.4,   33.4,
       27,      00,   201701,   2.88,   25.4,  -2.04,  -2.04,   -.54,  -1.87,      0,   1189,    -.1,     .2,   -.13,    -.2,   -.77,    -.5,   -.45,     17,   33.7,
