StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       28,      00,   201601,   3.23,   31.6,  -1.28,  -1.28,   -.13,  -1.12,      0,   1053,   -.01,    .48,    .02,   -.47,   -.18,    -.4,    .28,   22.2,   40.8,
       28,      00,   201602,    4.2,     36,   -.67,   -.67,   1.45,    .31,      0,    827,    .94,    .56,    .81,    .34,    .47,   -.05,     .2,   26.6,   45.4,
       28,      00,   201603,   1.89,     47,  -1.62,  -1.62,  -3.06,  -1.62,      0,    571,  -1.44,   -.37,   -.38,   -.02,   -.74,   -.46,    .02,   35.9,   58.1,
       28,      00,   201604,   2.33,   50.8,  -2.04,  -2.04,  -1.75,  -2.04,      0,    437,   -.97,  -1.78,   -.89,   -.53,   -.82,   -.53,    -.2,   38.6,   62.8,
       28,      00,   201605,   4.89,   60.2,  -1.54,  -1.54,    .87,  -1.07,     20,    177,    .77,    .03,   -.77,    .04,   -.11,    .04,   -.22,   50.4,   69.9,
       28,      00,   201606,   2.45,   70.7,  -1.94,  -1.94,  -1.67,  -1.94,    166,      6,   -.85,    .01,   -.53,   -.71,   -.33,   -.89,   -.29,   59.1,   82.2,
       28,      00,   201607,   7.03,   77.2,  -1.11,  -1.11,   1.88,   -.16,    363,      0,   1.29,    .51,    .74,    .04,    .01,   -.35,   -.11,   66.9,   87.4,
       28,      00,   201608,    2.1,   76.9,  -1.88,  -1.88,  -2.65,  -1.88,    355,      0,  -1.41,     .1,   -.36,   -.84,   -.29,   -.34,   -.34,   66.5,   87.3,
       28,      00,   201609,   3.45,   69.7,  -2.06,  -2.06,  -1.11,  -2.06,    147,     17,    .03,   -.92,    .02,   -.33,   -.55,   -.32,   -.24,   59.2,   80.3,
       28,      00,   201610,   2.88,   56.7,  -2.31,  -2.31,  -1.41,  -2.31,      7,    280,   -.18,   -.24,   -.97,   -.18,   -.65,   -.54,   -.33,   46.2,   67.2,
       28,      00,   201611,   2.47,   46.7,  -2.77,  -2.77,   -2.1,  -2.77,      0,    559,   -.46,   -.54,   -.52,   -.65,  -1.06,   -.58,    -.6,     36,   57.5,
       28,      00,   201612,   3.35,   36.3,  -2.76,  -2.76,   -.82,  -2.76,      0,    907,   -.16,   -.52,   -.58,   -.47,   -.65,   -.82,    -.7,   27.9,   44.7,
       28,      00,   201701,   3.74,   36.2,   -2.4,   -2.4,    .23,  -2.24,      0,    910,    .36,    .07,   -.28,   -.98,   -.34,   -.73,   -.72,   29.1,   43.3,
