StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       29,      00,   201601,    .52,   34.2,   -.06,   1.92,   -.17,   1.77,      0,    939,   -.11,    .44,    .57,    .65,   1.69,    1.5,   1.14,   21.1,   47.4,
       29,      00,   201602,    .28,     42,   -.62,   1.15,   -1.7,    .19,      0,    619,   -.91,   -.67,   -.05,    .69,   1.06,   1.36,    1.2,   25.2,   58.7,
       29,      00,   201603,    .08,   48.2,   -1.5,   -1.5,  -2.85,   -1.5,      1,    485,  -2.21,  -2.03,  -1.39,    .75,    .67,   1.16,   1.17,   31.3,   65.2,
       29,      00,   201604,      1,   52.4,  -1.42,  -1.42,   -.21,  -1.42,      6,    354,    .72,    -.2,   -.57,   -.02,    .29,    1.2,   1.38,   36.7,     68,
       29,      00,   201605,    .96,   59.3,  -1.41,  -1.41,   -.42,  -1.41,     35,    180,     .1,    .33,   -.23,   -.21,    .39,    .75,   1.32,   43.6,   74.9,
       29,      00,   201606,   1.06,   72.9,  -1.58,  -1.58,   -.94,  -1.58,    282,      9,    .05,   -.01,    .21,   -.48,     .6,    .59,   1.39,   56.5,   89.3,
       29,      00,   201607,   1.23,   76.8,  -2.67,  -2.67,  -3.76,  -2.67,    396,      0,  -1.46,  -1.18,  -1.01,  -1.21,   -.64,   -.21,    .94,   60.8,   92.8,
       29,      00,   201608,   3.28,   70.2,  -1.77,  -1.77,   1.89,   -.91,    203,     16,   1.07,   -.25,   -.22,   -.39,   -.37,    .19,   1.17,   56.8,   83.5,
       29,      00,   201609,   1.88,     66,  -1.59,  -1.59,   -.01,    -.7,    109,     48,    .27,     .9,    -.1,    .02,   -.44,    .47,    .94,   51.9,     80,
       29,      00,   201610,    .31,   59.6,  -2.36,  -2.36,  -2.81,  -2.36,     28,    170,  -1.12,   -.46,     .2,   -.49,   -.73,   -.45,    .85,   43.1,     76,
       29,      00,   201611,   1.38,   46.7,    .43,  -1.68,    1.3,  -1.05,      0,    532,   1.31,    .08,    .12,   -.15,   -.25,   -.27,   1.02,   33.3,   60.1,
       29,      00,   201612,   1.12,   37.9,    .63,  -1.27,    .73,   -.28,      0,    809,    .83,   1.26,    .34,    .08,    .13,   -.25,   1.01,   24.5,   51.2,
       29,      00,   201701,   1.75,   37.1,   1.56,   1.56,   2.96,   1.56,      0,    837,   2.18,   1.78,   1.82,   1.23,    .46,     .2,   1.09,   25.3,     49,
