StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       30,      00,   201601,   1.78,   23.7,  -1.04,  -1.04,  -1.64,  -1.04,      0,   1117,  -1.16,   -.13,   -.81,   -.27,    .47,   -.08,    .31,   15.3,     32,
       30,      00,   201602,   4.38,   26.7,   1.12,   1.12,   3.36,   1.12,      0,    928,   1.83,    .63,    .96,    .56,   1.15,    .45,    .49,     17,   36.3,
       30,      00,   201603,   2.21,   37.6,   -.74,   -.74,  -2.22,   -.74,      0,    693,   -.85,    .75,   -.02,   -.11,   -.07,    .56,    .34,   26.7,   48.5,
       30,      00,   201604,   2.61,   41.3,   -.98,   -.98,   -.95,   -.98,      0,    573,   -.62,   -1.1,    .21,   -.48,   -.15,    .48,    .19,   29.4,   53.2,
       30,      00,   201605,   2.56,   55.7,  -1.45,  -1.45,  -1.71,  -1.45,     13,    230,   -.76,    -.9,  -1.34,   -.32,   -.26,    .42,   -.12,     44,   67.5,
       30,      00,   201606,   2.97,   64.1,  -1.69,  -1.69,  -1.17,  -1.69,    102,     31,   -.55,   -.95,  -1.09,   -.99,   -.78,   -.66,   -.42,   51.8,   76.3,
       30,      00,   201607,   3.37,   70.4,  -1.89,  -1.89,   -1.1,  -1.89,    282,      1,   -.34,   -.67,   -.99,   -.71,  -1.05,    -.7,   -.75,   58.9,   81.8,
       30,      00,   201608,   4.58,   70.9,  -1.62,  -1.62,     .2,  -1.46,    291,      2,    .81,    .23,   -.15,  -1.04,   -.41,   -.33,    -.6,   60.2,   81.6,
       30,      00,   201609,   2.48,   62.9,  -2.37,  -2.37,  -2.73,  -2.37,     98,     48,   -.94,   -.15,   -.38,  -1.11,  -1.08,   -.88,   -.54,     51,   74.9,
       30,      00,   201610,   5.43,   50.4,  -1.59,  -1.59,   1.61,   -.82,      3,    337,    1.2,    .37,    .66,   -.21,   -.13,   -.49,   -.32,   40.9,   59.9,
       30,      00,   201611,   2.73,   40.2,  -1.85,  -1.85,  -1.27,  -1.58,      0,    621,   -.51,    .69,    .07,   -.15,   -.82,   -.34,   -.31,   31.1,   49.2,
       30,      00,   201612,   3.57,   27.5,  -1.45,  -1.45,    .63,   -.86,      0,   1002,    .42,   -.07,    .74,    .25,   -.42,   -.42,   -.27,   20.3,   34.7,
       30,      00,   201701,   3.43,   27.9,   -.94,   -.94,   1.09,    .13,      0,   1000,    .68,    .67,    .21,    .64,   -.12,   -.03,   -.08,   20.9,   34.8,
