StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       31,      00,   201601,   2.91,   38.4,   2.84,   2.84,   -.95,    2.4,      0,    826,   -.54,   1.22,    2.1,   2.34,   1.66,    1.4,   1.23,   28.5,   48.3,
       31,      00,   201602,   5.86,   43.2,   3.32,   3.32,   2.33,   3.32,      0,    609,   1.35,    .61,   1.69,   2.75,   2.37,   1.84,   1.72,   33.3,   53.1,
       31,      00,   201603,   2.16,   56.3,  -1.18,    1.8,  -3.53,    .32,     31,    291,  -1.52,    .09,   -.25,   2.24,   1.87,   1.61,   1.28,   44.3,   68.2,
       31,      00,   201604,    2.8,   58.7,  -1.39,   1.28,     -1,   -.55,     12,    189,   -.59,  -1.41,    -.2,   1.37,   1.81,   1.38,   1.01,   46.1,   71.3,
       31,      00,   201605,   5.64,   65.8,   -.53,   1.86,   2.14,    .86,     99,     65,   1.16,    .56,   -.45,    .91,   2.13,   1.92,   1.32,   55.6,   76.1,
       31,      00,   201606,   4.34,   75.3,   -.51,   1.64,   -.09,     .6,    323,      1,   -.02,    .71,    .39,   -.03,   2.07,   1.78,   1.29,   64.3,   86.3,
       31,      00,   201607,   5.29,   80.1,    -.8,   1.13,  -1.03,   -.24,    479,      0,   -.13,   -.17,    .42,     .1,   1.37,   1.79,   1.28,   69.8,   90.3,
       31,      00,   201608,   4.56,   79.2,   -1.2,   -1.2,  -1.45,   -1.2,    454,      0,   -.22,   -.36,   -.36,   -.59,    .52,   1.74,   1.19,   69.9,   88.6,
       31,      00,   201609,   7.56,   74.3,     .8,     .8,    2.4,     .8,    291,      2,   1.37,    .96,    .71,    .67,    .37,   2.08,   1.37,   64.6,   83.9,
       31,      00,   201610,   5.75,   63.2,   1.61,   1.61,   2.66,   1.61,     66,    123,    1.3,   1.78,   1.44,   1.28,    .98,    1.8,   1.64,   51.7,   74.7,
       31,      00,   201611,   1.13,   51.7,   -.75,    .69,  -2.25,   -.53,      1,    396,  -1.41,    .32,   1.07,    .61,    .29,   1.04,   1.38,   38.4,   64.9,
       31,      00,   201612,   3.26,   44.1,   -.79,   -.79,   -.37,   -.79,      1,    653,   -.22,  -1.15,    .12,    .58,    .61,    .36,   1.52,   33.9,   54.2,
       31,      00,   201701,   3.99,   45.4,   -.77,   -.77,   -.17,   -.77,      8,    614,    .24,      0,   -.74,    .66,    .76,    .52,   1.47,   35.9,   54.9,
