StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       32,      00,   201601,    .22,   14.6,   -.78,    .67,  -1.09,   -.68,      0,   1586,  -1.03,   -.35,   -.33,   -.34,    .35,   -.08,    .19,    6.5,   22.8,
       32,      00,   201602,     .4,   25.6,   -.82,   -.82,   -.35,   -.82,      1,   1131,    .04,   -.82,   -.37,   -.05,   -.24,   -.08,    .23,   16.6,   34.6,
       32,      00,   201603,    .53,   36.3,  -1.48,  -1.48,  -2.23,  -1.48,      0,    897,   -.45,   -.45,   -.97,   -.19,   -.41,   -.01,    .25,   24.4,   48.1,
       32,      00,   201604,   2.67,   41.9,   -.67,   -.67,   1.97,    .46,      0,    700,   1.52,   1.23,   1.14,    .68,     .2,     .7,    .43,     30,   53.7,
       32,      00,   201605,   2.31,   56.5,   -.71,   -.71,   -.33,    .24,     29,    279,    .03,    .84,    .67,     .5,     .4,    .16,    .39,   42.8,   70.2,
       32,      00,   201606,   2.58,   65.9,  -1.45,  -1.45,  -2.43,  -1.45,    114,     86,   -.66,   -.55,    .18,    -.1,   -.03,   -.25,   -.12,   53.3,   78.6,
       32,      00,   201607,   4.42,   69.2,   1.06,   1.06,   3.17,   1.06,    170,     38,   1.58,    .61,    .39,     .8,    .63,    .36,     .6,   57.2,   81.2,
       32,      00,   201608,   2.43,     68,   1.12,   1.12,    .53,   1.12,    140,     50,    .48,   1.52,    .69,    .89,    .79,    .63,    .14,   54.3,   81.6,
       32,      00,   201609,   3.15,   58.6,   2.06,   2.06,   3.14,   2.06,     29,    213,   1.44,   1.31,   2.03,   1.48,   1.31,   1.24,    .64,   46.9,   70.3,
       32,      00,   201610,   1.22,   46.1,   1.94,   1.94,    .29,   1.94,      0,    583,     .4,   1.16,   1.18,   1.07,   1.46,   1.29,    .84,   35.6,   56.5,
       32,      00,   201611,    .94,   39.2,   1.58,   1.58,   -.47,   1.29,      0,    771,    .85,    .62,   1.27,   1.41,   1.52,   1.41,    .97,   28.8,   49.7,
       32,      00,   201612,   1.49,   10.1,   2.61,   2.61,   3.57,   2.61,      0,   1691,   2.57,   1.87,   1.31,   2.38,   1.96,   1.76,   1.15,    2.6,   17.7,
       32,      00,   201701,     .5,   11.2,   2.43,   2.43,    .27,   2.43,      0,   1669,    .24,   1.94,   1.66,   1.68,   1.52,   1.88,   1.13,      4,   18.4,
