StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      110,      00,   201601,   2.07,  32.22,   3.64,   3.64,   1.45,   3.64,      6,    881,   -.37,   1.77,   2.26,   1.77,   2.78,   2.25,   1.58,   22.6,  41.83,
      110,      00,   201602,   1.96,  39.47,   -.28,   2.99,   -.84,    2.6,     10,    636,   -.32,   -.53,   1.46,   1.84,   2.15,   2.51,   1.51,  28.11,  50.83,
      110,      00,   201603,   2.96,   47.5,   -.42,   2.51,    -.5,   1.88,     33,    455,    .96,    .51,    .16,   2.28,   1.88,   2.85,   1.65,  35.51,  59.47,
      110,      00,   201604,   3.04,  53.19,     .3,   2.56,     .9,   2.22,     39,    314,   1.15,   1.28,    .97,   2.07,   1.89,   2.77,   1.83,   40.8,  65.57,
      110,      00,   201605,   3.11,  60.31,    .47,    2.5,    .61,   2.33,     94,    152,    .43,    .98,   1.16,   1.74,   2.02,   2.21,   1.97,  48.13,   72.5,
      110,      00,   201606,   2.51,  71.76,   -.67,   1.57,  -2.01,    .54,    268,     21,   -.97,   -.34,    .28,    .24,   2.07,   1.74,   1.66,   58.6,  84.92,
      110,      00,   201607,   2.96,  75.22,   -.73,   1.28,   -.39,     .1,    381,      5,    .45,   -.45,   -.14,    .46,   1.81,   1.59,   1.84,  62.53,  87.91,
      110,      00,   201608,   3.52,  73.54,    .73,   1.88,   2.19,   1.48,    360,      6,   2.27,   2.17,     .8,   1.39,   1.91,   2.21,   1.99,  61.25,  85.82,
      110,      00,   201609,   2.75,  67.12,    .69,   1.72,    .11,    1.3,    216,     38,    .59,   1.88,   1.74,   1.22,   1.04,   2.58,   2.17,  54.84,  79.41,
      110,      00,   201610,   2.41,  57.72,   -.08,   1.46,   -.25,    .91,     83,    199,    .37,    .57,   1.51,     .9,   1.21,    2.2,   2.22,  45.54,  69.89,
      110,      00,   201611,   1.78,  47.97,  -1.05,  -1.05,  -2.92,  -1.05,     23,    422,   -.75,   -.26,    .01,    .37,    .92,   1.46,   1.95,  36.36,  59.56,
      110,      00,   201612,   2.76,  32.95,   -1.2,   -1.2,   -.78,   -1.2,     15,    793,     .7,   -.05,    .12,    .95,    .85,    .81,   1.79,  23.27,  42.62,
      110,      00,   201701,   3.27,  33.55,   -.64,   -.64,   1.32,    .28,     15,    775,   1.71,   1.66,    .87,   1.48,   1.11,   1.33,   1.98,  24.35,  42.75,
