StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       34,      00,   201601,    .51,   38.1,   4.91,   4.91,   -.45,   4.69,      0,    837,  -1.08,   1.82,   2.44,   1.35,   3.09,   2.87,   1.57,   26.8,   49.4,
       34,      00,   201602,   1.04,   47.3,   4.12,   4.12,   -.85,   3.54,      8,    498,   -.44,  -1.05,   1.23,   1.33,   1.59,   2.86,   1.61,   33.2,   61.4,
       34,      00,   201603,    2.5,   54.6,   3.56,   3.56,   -.41,   2.78,     26,    338,    .14,    -.2,   -.64,   1.59,   1.51,   2.83,   1.76,   41.3,     68,
       34,      00,   201604,   6.12,   61.2,   4.25,   4.25,   3.15,   4.25,     46,    144,   1.63,   1.25,    .95,   2.18,   1.48,   2.98,   2.56,   48.7,   73.8,
       34,      00,   201605,   3.81,   66.1,   -.17,   3.64,   -.51,   3.39,    103,     61,   -.36,    .79,    .68,   1.08,   1.37,   1.61,    2.3,   54.8,   77.4,
       34,      00,   201606,   3.28,   79.2,   -.39,   3.03,   -.71,   2.45,    434,      0,   -.29,   -.54,    .42,   -.02,   1.29,   1.32,   2.31,   67.7,   90.6,
       34,      00,   201607,   3.74,   83.2,   -.13,   2.94,    .67,   2.56,    565,      0,     .6,    .08,    -.2,    .36,   1.47,   1.09,   2.29,   71.7,   94.8,
       34,      00,   201608,   2.91,   80.7,   -.01,   2.74,    .31,   2.42,    507,      0,    .16,    .43,    .07,    .48,    .83,   1.15,    2.3,   69.2,   92.3,
       34,      00,   201609,   3.57,   75.2,   -.06,   2.41,   -.15,   1.98,    327,      9,    .29,    .19,    .42,    .53,    .19,   1.31,   2.43,   63.1,   87.3,
       34,      00,   201610,   1.88,   66.9,   -.63,   1.58,  -1.73,    .49,    132,     60,   -.47,    -.2,   -.17,   -.33,    .14,   1.13,   2.61,   53.7,   80.1,
       34,      00,   201611,   1.27,   55.3,  -1.26,    .72,  -2.08,  -1.08,     15,    290,   -.49,   -.76,    -.5,   -.35,    .08,    .41,   2.51,   42.5,   68.1,
       34,      00,   201612,    .76,   38.7,   -1.8,   -1.8,  -2.01,   -1.8,      0,    809,   -.84,   -.95,  -1.02,   -.42,    -.1,   -.35,   1.75,   26.5,   50.8,
       34,      00,   201701,   2.62,   40.7,  -1.52,  -1.52,     .3,   -1.3,      0,    744,   1.21,    .25,   -.21,   -.32,   -.45,   -.01,   1.93,   28.6,   52.8,
