StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       35,      00,   201601,   5.21,   33.1,  -1.43,  -1.43,    .52,    .66,      0,    779,    .35,   1.65,   1.22,    .93,    .72,    .26,    .57,   26.3,   39.9,
       35,      00,   201602,   2.48,   40.3,  -2.03,  -2.03,  -2.25,   -.81,      0,    548,   -.65,   -.25,   1.27,    .65,    .44,    .08,    .14,   31.1,   49.5,
       35,      00,   201603,   5.02,   41.2,  -1.29,  -1.29,   1.58,    .43,      0,    610,   1.08,    .26,     .3,    .97,    .91,    .54,     .1,     32,   50.3,
       35,      00,   201604,   1.78,   50.1,  -1.77,  -1.77,  -1.82,   -.67,      0,    354,   -.62,    .55,    .02,    .98,    .75,    .57,    .03,   37.4,   62.7,
       35,      00,   201605,   1.61,   53.2,  -1.96,  -1.96,  -1.14,   -1.2,      6,    275,   -.42,   -.77,    .27,   1.18,    .67,    .48,    .03,   40.9,   65.5,
       35,      00,   201606,   1.04,   60.6,  -2.25,  -2.25,  -1.46,  -1.78,     24,    130,   -.47,   -.75,   -.94,   -.21,    .65,    .59,      0,   46.2,   74.9,
       35,      00,   201607,    .66,   64.4,  -2.42,  -2.42,   -1.2,   -2.3,     60,     74,    .64,    -.2,   -.55,   -.28,     .8,    .56,    .02,   49.5,   79.4,
       35,      00,   201608,     .1,   66.6,  -2.75,  -2.75,  -1.74,  -2.75,    117,     28,  -1.09,   -.34,   -.66,   -.11,    .94,     .5,   -.06,   50.3,   82.9,
       35,      00,   201609,    .62,     57,  -2.88,  -2.88,  -1.24,  -2.88,     15,    176,   -.71,  -1.36,   -.97,  -1.35,   -.45,    .46,   -.15,   42.7,   71.4,
       35,      00,   201610,   7.24,   48.1,      2,   -.58,      6,   1.96,      0,    413,   2.66,   2.41,   2.06,   1.38,    .78,   1.41,    .34,   38.9,   57.2,
       35,      00,   201611,   3.88,   43.2,   1.96,   1.96,    .51,   1.96,      0,    514,   -.21,    1.6,   1.36,    .97,    .86,   1.46,    .29,     35,   51.4,
       35,      00,   201612,    5.3,   27.4,   2.01,   2.01,    .76,   2.01,      0,    961,    .26,   -.02,   1.24,    .99,    .52,    .58,    .17,   19.4,   35.4,
       35,      00,   201701,   5.03,   26.9,   1.95,   1.95,    .42,   1.95,      0,    968,    .26,     .3,    .07,     .9,    .68,    .51,    .55,     19,   34.7,
