StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       36,      00,   201601,   2.43,   25.5,    .01,    .01,   -.56,    -.6,      0,   1170,   -.39,    .25,   -.32,   -.23,    .46,    .21,    .22,   16.7,   34.3,
       36,      00,   201602,   3.97,   30.8,    .78,    .78,    2.3,    .78,      0,    914,    1.3,    .52,    .85,    .58,    1.1,     .7,    .28,   21.3,   40.2,
       36,      00,   201603,   1.97,   43.4,  -1.09,  -1.09,  -3.28,  -1.09,      0,    617,  -1.39,   -.05,   -.38,   -.12,   -.21,    .47,     .2,   31.7,   55.1,
       36,      00,   201604,   2.64,     47,  -1.43,  -1.43,  -1.36,  -1.43,      0,    482,   -.71,  -1.51,   -.49,   -.57,   -.46,    .18,      0,   34.1,   59.9,
       36,      00,   201605,   3.88,   57.5,  -1.38,  -1.38,   -.29,  -1.38,     21,    214,    .05,   -.45,  -1.17,   -.23,   -.13,    .45,    -.2,   46.6,   68.5,
       36,      00,   201606,   3.37,   67.4,  -1.65,  -1.65,  -1.23,  -1.65,    145,     18,   -.54,   -.41,   -.74,   -.89,   -.57,   -.61,   -.49,   55.5,   79.3,
       36,      00,   201607,   3.81,   73.1,  -1.84,  -1.84,  -1.08,  -1.84,    311,      1,   -.34,   -.62,   -.55,   -.77,   -.83,    -.7,   -.61,   61.2,     85,
       36,      00,   201608,   4.15,   73.5,  -1.89,  -1.89,   -.73,  -1.89,    309,      1,    .34,   -.11,   -.42,  -1.08,   -.47,   -.36,   -.66,   62.4,   84.6,
       36,      00,   201609,   3.59,   66.2,  -2.01,  -2.01,   -.94,  -2.01,    120,     35,    .14,    .25,      0,   -.53,   -.68,   -.45,   -.39,   54.1,   78.2,
       36,      00,   201610,   4.31,   53.7,  -1.63,  -1.63,    .51,  -1.33,      7,    313,    .73,    .52,    .53,      0,   -.28,    -.4,   -.31,   43.1,   64.3,
       36,      00,   201611,   1.49,   42.8,  -2.49,  -2.49,  -3.07,  -2.49,      0,    625,  -1.34,   -.28,   -.22,   -.47,  -1.01,   -.54,   -.44,   31.9,   53.7,
       36,      00,   201612,   3.63,   31.2,  -2.01,  -2.01,    .65,  -1.67,      0,    988,    .45,   -.67,   -.06,   -.09,   -.48,   -.61,   -.26,   24.1,   38.3,
       36,      00,   201701,   3.83,   31.9,  -1.32,  -1.32,   1.45,    -.3,      0,    975,    .74,    .74,   -.15,    .27,    -.1,   -.29,   -.03,   25.1,   38.7,
