StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       37,      00,   201601,   3.21,   31.3,  -1.74,  -1.74,   -.64,  -1.74,      0,   1045,   -.28,    .25,   -.35,   -.39,   -.44,   -.86,   -.35,   22.8,   39.8,
       37,      00,   201602,   5.29,   33.1,   -.77,   -.77,   2.39,    .48,      0,    893,   1.28,    .62,     .8,    .27,    .33,    -.4,   -.23,   23.1,     43,
       37,      00,   201603,   2.67,     43,  -1.42,  -1.42,  -2.19,  -1.19,      0,    682,   -.79,    .24,   -.03,    -.1,   -.34,    -.6,   -.56,   33.8,   52.2,
       37,      00,   201604,   3.98,   46.2,  -1.29,  -1.29,   -.06,  -1.02,      0,    564,    .08,   -.57,     .1,   -.21,   -.36,   -.37,   -.62,   36.1,   56.3,
       37,      00,   201605,   3.44,   57.9,  -1.28,  -1.28,   -.35,  -1.08,      7,    227,    .07,    .07,   -.49,    .14,   -.11,   -.04,   -.63,   47.7,   68.2,
       37,      00,   201606,   1.45,   66.9,  -1.81,  -1.81,     -2,  -1.81,     85,     28,  -1.11,   -.73,    -.6,   -.55,   -.46,   -.66,   -.74,   56.2,   77.5,
       37,      00,   201607,   2.58,   73.8,  -2.11,  -2.11,  -1.45,  -2.11,    273,      0,   -.38,  -1.08,   -.84,   -.53,    -.7,   -.73,   -.99,   63.7,   83.9,
       37,      00,   201608,   2.85,   73.9,  -2.55,  -2.55,  -1.98,  -2.55,    276,      0,   -.38,   -.72,  -1.27,  -1.28,   -.67,   -.68,   -.88,   63.9,     84,
       37,      00,   201609,   2.75,   66.4,  -2.88,  -2.88,  -1.77,  -2.88,     80,     38,   -.31,   -.64,   -.92,  -1.14,  -1.06,   -.86,   -.66,   57.2,   75.6,
       37,      00,   201610,   6.32,   54.8,  -1.88,  -1.88,    2.1,   -.95,      0,    319,   1.24,    .67,    .27,   -.39,   -.34,   -.46,   -.47,     45,   64.5,
       37,      00,   201611,    3.2,   45.2,  -2.11,  -2.11,  -1.27,  -1.66,      0,    594,   -.42,    .66,     .3,   -.62,   -.88,   -.39,   -.67,   35.5,   54.8,
       37,      00,   201612,   3.54,   34.3,  -2.04,  -2.04,   -.45,  -1.72,      0,    952,   -.25,   -.55,    .35,    -.3,   -.64,   -.68,  -1.02,   25.8,   42.8,
       37,      00,   201701,   4.85,   34.3,  -1.54,  -1.54,    .87,   -.83,      0,    952,    .69,    .24,   -.15,    .05,   -.45,   -.41,   -.86,   27.1,   41.5,
