StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       38,      00,   201601,   2.94,     43,   3.98,   3.98,   -.59,    3.7,      4,    694,   -.36,    .94,   1.97,   2.64,   2.01,   1.75,   1.31,   32.6,   53.4,
       38,      00,   201602,   4.78,   47.9,   3.88,   3.88,    .93,   3.88,      2,    490,    .53,    .09,   1.02,   2.57,   2.24,   1.85,   1.47,   36.9,   58.9,
       38,      00,   201603,   2.26,   60.6,   -.92,   2.56,  -2.75,   1.43,     60,    205,   -1.1,   -.32,    -.5,   2.39,   1.99,    1.7,   1.19,   48.3,   72.9,
       38,      00,   201604,   2.48,   63.1,  -1.19,   1.93,   -1.1,    .37,     40,    102,   -.48,  -1.13,   -.49,   1.02,   2.05,    1.5,   1.02,   50.5,   75.7,
       38,      00,   201605,   5.66,   70.1,    -.3,    2.5,   2.31,   1.79,    175,     22,   1.32,    .62,   -.17,    .55,   2.26,   1.96,   1.18,     59,   81.2,
       38,      00,   201606,   3.65,   79.8,   -.57,   1.94,   -.92,    .88,    440,      0,   -.55,    .51,    .14,    -.3,   2.14,   1.86,   1.17,   68.6,     91,
       38,      00,   201607,   3.94,   83.8,  -1.26,      1,  -2.23,   -.81,    580,      0,    -.8,   -.97,   -.12,   -.45,    .78,   1.84,   1.16,   72.5,   95.2,
       38,      00,   201608,   3.97,   82.1,  -1.93,  -1.93,  -2.42,  -1.93,    526,      0,   -.58,  -1.09,  -1.25,  -1.05,   -.14,   1.63,   1.09,   72.1,     92,
       38,      00,   201609,   6.93,   77.1,    .51,  -1.23,   1.52,   -.45,    361,      0,   1.24,    .63,    .12,     .1,   -.23,    1.9,   1.22,   66.9,   87.2,
       38,      00,   201610,   5.71,   66.4,   1.22,   1.22,   2.31,   1.22,    108,     70,   1.23,   1.67,   1.18,    .86,    .37,   1.21,   1.51,   53.9,   78.9,
       38,      00,   201611,    .99,   55.6,   -.52,    .58,  -1.55,   -.46,     11,    296,   -1.3,    .52,   1.05,    .07,   -.07,    .41,   1.23,   41.8,   69.4,
       38,      00,   201612,    4.1,   48.9,    .75,    .75,     .7,    .11,      6,    513,    .39,   -.45,    .55,    .43,    .36,    .04,   1.41,   38.6,   59.2,
       38,      00,   201701,   4.87,   51.4,    .95,    .95,    .82,    .67,     25,    455,    .77,    .69,    .07,    .87,    .69,    .32,   1.54,   40.7,   62.1,
