StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       39,      00,   201601,    .27,   19.8,   3.61,   3.61,   -.14,   3.49,      0,   1399,   -.57,      1,   1.16,   1.01,   1.72,   1.04,    .87,   11.1,   28.6,
       39,      00,   201602,    .59,   31.2,   3.45,   3.45,    .64,   3.45,      1,    975,    .31,   -.24,    .92,    .53,   1.15,   1.11,    .91,   21.5,     41,
       39,      00,   201603,   1.05,   40.1,   2.77,   2.77,   -.97,   2.32,      1,    780,    .16,    .24,   -.09,    .81,   1.07,   1.34,    .96,   26.8,   53.3,
       39,      00,   201604,   3.76,   46.3,   3.68,   3.68,   3.59,   3.68,      0,    559,   1.69,   1.53,   1.49,   1.76,    1.6,   2.15,   1.35,   33.8,   58.7,
       39,      00,   201605,   2.56,   56.7,   3.44,   3.44,    .41,   3.44,     30,    285,   -.17,    .85,     .8,    .99,    .84,   1.37,   1.38,   43.1,   70.3,
       39,      00,   201606,   1.79,   70.6,   2.21,   2.21,  -2.62,   1.11,    212,     37,  -1.37,   -1.1,   -.09,   -.17,    .29,    .65,     .6,   56.3,   84.8,
       39,      00,   201607,   2.78,   72.9,   2.26,   2.26,    .85,   1.47,    254,     22,    .39,   -.83,   -.77,    .06,    .35,    .58,     .9,   59.3,   86.5,
       39,      00,   201608,   2.62,   70.9,   2.47,   2.47,    1.3,   2.12,    200,     29,    .68,    .62,   -.48,    .21,    .37,    .37,    .62,   57.3,   84.5,
       39,      00,   201609,   1.97,   62.3,   2.48,   2.48,     .8,   2.37,     69,    147,    .53,    .72,    .71,    .35,    .27,    .57,    .72,   49.5,   75.2,
       39,      00,   201610,   1.23,   51.6,   2.12,   2.12,   -.31,   1.82,      1,    428,    .14,    .33,    .51,    -.3,    .29,    .49,    .86,   38.5,   64.6,
       39,      00,   201611,    .91,     42,   1.65,   1.65,   -.76,    .99,      0,    686,    .71,    .34,    .46,   -.15,    .33,    .45,    .91,   29.9,   54.1,
       39,      00,   201612,   1.26,   15.4,   2.31,   2.31,   2.51,   2.31,      0,   1484,   2.06,    1.6,     .9,    .96,    .55,    .49,      1,    6.2,   24.6,
       39,      00,   201701,     .7,   16.5,   2.39,   2.39,    .96,   2.39,      0,   1437,    .89,   1.86,   1.66,   1.08,    .13,    .62,   1.05,    8.3,   24.8,
