StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       40,      00,   201601,   2.79,   34.8,   -.56,   2.23,  -1.67,   1.49,      0,    933,   -.91,    .41,    .88,    .82,    .98,   1.04,     .9,     25,   44.7,
       40,      00,   201602,   5.88,   42.4,   -.17,   2.33,    .99,   1.94,      0,    632,    .84,   -.01,    .69,    .96,   1.41,   1.28,    .98,   33.6,   51.3,
       40,      00,   201603,   5.26,     54,    -.4,   1.84,   -.75,    1.1,     25,    366,    .07,    .52,   -.08,   1.04,   1.18,   1.21,   1.04,   42.2,   65.7,
       40,      00,   201604,   3.21,   59.7,    -.9,   1.11,  -1.62,   -.27,     23,    183,   -.77,   -.44,    .06,    .61,    .64,     .8,    .77,   46.9,   72.4,
       40,      00,   201605,   3.86,   65.3,   -.94,    .86,   -.39,   -.61,     95,     86,   -.23,   -.73,   -.54,    .08,    .41,    .78,    .84,   54.2,   76.3,
       40,      00,   201606,   4.03,   76.4,   -.91,    .71,    -.2,   -.76,    346,      0,   -.01,   -.28,   -.63,   -.54,    .49,    .67,    .55,   64.9,     88,
       40,      00,   201607,   4.95,   79.8,   -.74,     .7,    .21,   -.61,    463,      0,    .41,     .2,   -.04,   -.07,    .44,    .48,    .62,   69.4,   90.1,
       40,      00,   201608,   5.02,   78.9,   -.25,   1.05,   1.26,    .15,    434,      0,    .91,    .83,    .56,   -.13,    .32,    .58,    .63,   69.3,   88.6,
       40,      00,   201609,   1.81,   74.1,   -.97,   -.97,  -2.24,   -.97,    281,      5,  -1.07,   -.13,    .07,   -.49,   -.46,    .49,    .59,   61.4,   86.7,
       40,      00,   201610,     .7,   64.6,  -2.03,  -2.03,  -3.49,  -2.03,     92,    107,  -1.82,  -1.82,  -1.02,   -.75,   -.59,    .07,    .05,   50.7,   78.4,
       40,      00,   201611,   3.06,   52.7,  -2.58,  -2.58,  -2.26,  -2.58,      5,    377,   -.45,  -1.41,  -1.62,   -.83,  -1.04,   -.41,    .03,   38.9,   66.4,
       40,      00,   201612,   7.06,   40.9,  -1.88,  -1.88,   1.28,  -1.28,      0,    746,    .98,    .49,    -.3,   -.25,   -.58,   -.58,    .37,   31.3,   50.5,
       40,      00,   201701,   4.27,     45,     -2,     -2,   -.92,  -1.72,     12,    630,   -.03,    .58,    .25,   -.46,   -.46,   -.39,    .47,     37,     53,
