StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       41,      00,   201601,    .96,   46.4,   4.46,   4.46,    .32,   4.46,     10,    511,   -.58,    .22,   1.12,   1.01,   2.24,    2.3,   1.39,   34.1,   58.8,
       41,      00,   201602,   1.07,   54.5,   3.76,   3.76,   -.71,   3.44,     32,    261,   -.56,   -.77,   -.09,   1.13,    .78,   2.25,   1.45,   39.9,     69,
       41,      00,   201603,   2.85,   61.3,   3.85,   3.85,   1.42,   3.85,     98,    149,   1.26,    .52,    .08,   1.73,    .88,   2.29,    1.7,   48.2,   74.3,
       41,      00,   201604,   4.36,     66,   4.53,   4.53,   3.24,   4.53,    138,     48,   1.52,   1.62,   1.28,   1.47,   1.43,   2.42,   2.35,   53.5,   78.6,
       41,      00,   201605,   4.92,   71.6,   5.01,   5.01,   2.84,   5.01,    265,      9,   1.16,   1.71,   1.79,   1.33,   1.82,   1.56,   2.33,   60.3,   82.8,
       41,      00,   201606,   3.45,   80.1,   5.24,   5.24,   2.22,   5.24,    486,      0,    .52,   1.07,   1.57,    1.2,   2.11,   1.44,   2.39,   68.9,   91.3,
       41,      00,   201607,   1.31,   85.4,    4.8,    4.8,    .31,    4.8,    645,      0,  -1.04,   -.24,     .5,   1.08,   1.28,   1.27,   2.21,   73.4,   97.5,
       41,      00,   201608,   5.45,   81.6,    5.9,    5.9,   4.77,    5.9,    567,      0,   2.13,   1.26,   1.22,   1.93,   1.56,   1.86,   2.62,   70.9,   92.3,
       41,      00,   201609,   2.99,   77.6,   5.13,   5.13,   -.48,    4.9,    450,      0,    .15,   1.58,    .93,   1.74,   1.42,   2.14,    2.9,   66.7,   88.5,
       41,      00,   201610,    .69,   70.9,   3.63,   3.63,   -2.9,   2.28,    258,     13,  -1.44,    -.8,    .55,    .68,   1.12,   1.32,   2.84,   57.7,   84.1,
       41,      00,   201611,   2.38,   61.1,   3.15,   3.15,   -.31,   1.68,     98,    122,    .61,   -.56,   -.43,    .38,    1.3,   1.11,   2.94,   49.6,   72.5,
       41,      00,   201612,   2.14,   49.6,   2.87,   2.87,    .14,   1.45,     19,    387,    .55,    .63,   -.29,    .35,   1.16,   1.03,    2.3,   38.9,   60.3,
       41,      00,   201701,   2.32,   50.8,    2.7,    2.7,    .35,   1.39,     39,    369,    .95,    .89,    .88,     .9,    .95,   1.31,    2.3,   38.7,   62.9,
