StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       42,      00,   201601,   1.45,   26.7,   -.93,   -.93,    .76,    .19,      0,   1216,    .54,    .59,    .54,    .58,   1.78,   1.01,    .72,   17.1,   36.3,
       42,      00,   201602,    .64,   33.8,  -1.17,  -1.17,     -1,   -.38,      0,    918,   -.94,   -.15,    .08,    .28,    .58,   1.01,    .59,     22,   45.5,
       42,      00,   201603,    1.2,   42.1,  -1.46,  -1.46,  -1.23,   -.91,      0,    774,   -.08,    -.7,   -.22,    .31,    .41,   1.13,    .65,   29.8,   54.4,
       42,      00,   201604,   1.72,   47.8,   -1.1,   -1.1,    .63,   -.32,      1,    554,     .9,    .51,   -.12,    .32,    .45,   1.44,    .91,   35.6,   60.1,
       42,      00,   201605,   1.39,   54.4,   -.74,   -.74,    .75,    .27,      9,    405,    .52,    .84,    .58,     .4,     .5,    .73,    .99,   41.5,   67.3,
       42,      00,   201606,    .34,   70.8,  -1.13,  -1.13,  -1.41,   -.52,    153,     67,   -.56,   -.01,    .44,    .03,    .42,     .5,    .99,   55.1,   86.6,
       42,      00,   201607,    .62,   73.7,  -1.77,  -1.77,  -2.28,  -1.77,    224,     21,   -.68,   -.96,    -.4,    -.4,    .02,     .2,    .81,   58.6,   88.9,
       42,      00,   201608,    .95,   70.2,  -2.01,  -2.01,  -1.25,  -2.01,    156,     40,    -.3,   -.65,   -.88,   -.19,   -.13,    .08,    .47,   55.5,   84.8,
       42,      00,   201609,   2.09,   61.1,    .92,   -.88,   2.76,    .47,     31,    204,   1.32,    .92,    .49,    .54,     .2,    .52,    .34,   47.3,     75,
       42,      00,   201610,    .91,   53.2,   -.41,   -1.2,  -1.23,   -.42,      4,    437,   -.22,    .71,    .43,   -.01,    -.1,    .18,     .5,   40.6,   65.8,
       42,      00,   201611,    .95,   41.7,   -.85,  -1.55,  -1.43,  -1.31,      0,    726,   -.05,   -.32,    .53,   -.15,    .16,    .12,    .54,   29.9,   53.5,
       42,      00,   201612,   1.94,   27.4,    .45,   -.95,   1.34,   -.07,      0,   1225,   1.25,    .82,    .38,    .49,     .6,    .34,    .75,   17.2,   37.7,
       42,      00,   201701,   2.78,   25.9,   1.69,   1.69,   3.87,   1.69,      0,   1284,   1.81,   2.01,   1.67,   1.45,   1.09,    .86,   1.24,   17.1,   34.7,
