StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       43,      00,   201601,   1.71,   20.9,    .04,  -1.09,   -1.7,   -.77,      0,   1340,  -1.08,    .42,    -.4,   -.36,    .51,   -.05,    .36,     12,   29.8,
       43,      00,   201602,   4.81,   23.9,    1.3,    1.3,   3.78,    1.3,      0,   1131,   1.92,    .72,   1.37,    .54,   1.09,    .48,    .53,   13.7,   34.1,
       43,      00,   201603,   2.98,   33.5,   -.11,   1.05,   -.33,    .77,      0,    944,   -.04,   1.28,    .49,    .27,    .08,    .71,    .43,   23.1,     44,
       43,      00,   201604,   2.64,   38.2,   -.36,    .69,   -.77,   -.12,      0,    781,   -.48,   -.39,    .77,    .12,      0,     .7,    .34,   25.7,   50.7,
       43,      00,   201605,   2.78,     54,   -.81,   -.81,  -1.47,   -.81,      5,    333,   -.53,   -.68,   -.64,     .4,    .06,    .64,    .14,   41.9,   66.1,
       43,      00,   201606,   3.32,     62,  -1.08,  -1.08,  -1.06,  -1.08,     27,     95,   -.38,   -.69,   -.82,   -.35,   -.24,   -.32,    .01,   49.6,   74.3,
       43,      00,   201607,   3.85,   67.3,   -1.2,   -1.2,   -.69,   -1.2,    116,     23,   -.16,   -.44,   -.67,   -.04,   -.31,   -.31,   -.25,   55.4,   79.3,
       43,      00,   201608,   4.81,   67.5,  -1.01,  -1.01,    .19,    -.8,    126,     28,    .63,     .3,   -.02,   -.48,    .29,    .04,   -.08,   56.2,   78.8,
       43,      00,   201609,   2.19,   59.9,  -1.82,  -1.82,  -2.73,  -1.82,     19,    153,  -1.09,    -.4,   -.53,  -1.01,   -.61,   -.43,   -.01,   47.8,   72.1,
       43,      00,   201610,   3.71,   47.8,  -1.94,  -1.94,   -.92,  -1.94,      0,    518,    .18,   -.63,    -.2,   -.74,   -.23,   -.44,    -.2,   38.6,   56.9,
       43,      00,   201611,   2.93,   36.8,  -2.35,  -2.35,  -1.84,  -2.35,      0,    831,   -.36,   -.15,   -.85,   -.75,  -1.03,   -.22,   -.14,   28.4,   45.2,
       43,      00,   201612,   3.63,   23.9,  -1.97,  -1.97,    .41,  -1.73,      0,   1247,    .39,    .02,    .06,   -.37,   -.75,   -.47,   -.21,   15.6,   32.1,
       43,      00,   201701,    2.6,   24.7,  -1.93,  -1.93,   -.47,  -1.82,      0,   1220,    -.1,    .11,   -.13,   -.32,   -.72,   -.28,   -.26,   16.9,   32.5,
