StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       44,      00,   201601,   2.97,   33.1,   2.12,   2.12,   -.05,   2.03,      0,    976,   -.08,    .89,   1.08,   1.19,   1.26,   1.32,    .96,   23.2,   42.9,
       44,      00,   201602,   4.74,   38.4,   2.65,   2.65,   2.25,   2.65,      0,    738,   1.31,    .85,    1.4,      2,    2.1,   1.67,   1.15,   29.2,   47.5,
       44,      00,   201603,   2.06,   51.8,   1.34,   1.34,  -3.12,   -.04,     12,    419,  -1.38,    .16,      0,   1.09,   1.17,   1.34,    .97,   39.9,   63.6,
       44,      00,   201604,   2.34,   55.2,     .7,     .7,  -1.49,  -1.25,      2,    300,   -.88,  -1.53,   -.38,    .55,    .75,    .97,     .7,   42.1,   68.3,
       44,      00,   201605,   6.96,   61.9,   1.94,   1.94,   3.92,   1.52,     43,    134,   2.09,    1.1,    .16,   1.05,    1.6,   1.88,   1.16,   52.2,   71.5,
       44,      00,   201606,    5.1,   71.9,   2.33,   2.33,   1.78,   2.33,    227,      2,    .83,   1.86,   1.25,    .81,   1.46,   1.69,   1.42,   60.8,   83.1,
       44,      00,   201607,   4.83,   77.4,   2.18,   2.18,    .26,   2.18,    405,      0,    .28,    .72,    1.6,    .98,   1.35,    1.5,   1.53,   67.2,   87.6,
       44,      00,   201608,   3.25,   77.1,   -.44,   1.52,  -1.32,    .86,    398,      0,   -.47,   -.28,    .17,    .15,    .88,   1.49,   1.33,   67.4,   86.8,
       44,      00,   201609,   5.23,     72,    1.7,    1.7,   1.02,   1.44,    231,      7,    .91,    .34,    .34,    .94,    .75,   1.36,   1.54,     62,   81.9,
       44,      00,   201610,    3.6,   59.8,   1.54,   1.54,    .03,   1.23,     32,    185,    .38,    .84,     .4,   1.23,    .92,   1.26,   1.46,   48.5,     71,
       44,      00,   201611,   1.37,   48.4,    .69,    .69,  -2.05,   -.53,      0,    497,  -1.07,   -.39,    .23,    .28,    .28,    .82,    1.2,   35.4,   61.3,
       44,      00,   201612,   3.23,   39.1,    .62,    .62,      0,   -.56,      0,    796,    .06,   -.73,   -.36,   -.05,    .62,    .48,   1.17,   29.4,   48.7,
       44,      00,   201701,   3.96,     40,    .82,    .82,    .78,   -.04,      0,    777,    .65,    .43,   -.26,    .01,    .95,    .66,   1.33,   31.9,   48.2,
