StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       45,      00,   201601,   6.89,     33,   1.93,   1.93,    .65,   1.93,      0,    825,    .39,   1.56,   1.54,   1.46,     .8,    .45,   1.14,   28.1,     38,
       45,      00,   201602,   5.15,   39.2,    1.7,    1.7,   -.08,    1.6,      0,    598,    .33,    .46,   1.55,   1.33,    .98,     .6,    .93,   31.8,   46.5,
       45,      00,   201603,   7.01,   41.8,   2.46,   2.46,   2.79,   2.46,      0,    600,    1.5,    1.2,   1.15,   1.69,    1.6,      1,    .84,   33.2,   50.5,
       45,      00,   201604,   1.61,   51.6,   -.93,   1.28,  -2.78,    .02,      1,    346,  -1.16,    .78,    .76,   1.58,    1.5,    .99,    .67,   39.8,   63.4,
       45,      00,   201605,   1.56,   55.2,  -1.38,    .59,  -1.66,  -1.33,      4,    255,   -.76,  -1.45,    .41,   1.48,   1.32,   1.02,    .61,   43.8,   66.6,
       45,      00,   201606,   1.84,   59.9,  -1.55,  -1.55,   -.91,  -1.55,     22,    152,    .06,   -.54,   -1.2,    .57,   1.39,   1.27,    .64,   47.6,   72.2,
       45,      00,   201607,   1.17,   63.7,  -1.63,  -1.63,   -.74,  -1.63,     58,     82,    .68,    .34,   -.24,    .57,   1.44,   1.38,    .69,   51.8,   75.7,
       45,      00,   201608,    .36,   65.9,  -2.07,  -2.07,   -1.8,  -2.07,     87,     51,   -.83,   -.25,   -.22,    .18,   1.33,    1.2,    .56,   51.9,   79.9,
       45,      00,   201609,    1.7,   56.5,     -2,     -2,   -.45,     -2,      6,    217,    -.1,   -.55,   -.28,  -1.11,     .4,   1.22,    .55,   44.8,   68.3,
       45,      00,   201610,  10.34,   47.4,   2.33,   2.33,   6.98,   2.33,      0,    432,   2.96,   2.68,   2.34,   1.83,   1.72,   2.22,    .99,   40.4,   54.5,
       45,      00,   201611,   6.89,     43,    2.3,    2.3,    .65,    2.3,      0,    544,    .28,   2.46,   2.62,   2.03,   1.75,   2.19,      1,   36.8,   49.2,
       45,      00,   201612,   4.96,   26.2,   1.49,   1.49,  -1.74,    .65,      0,   1012,   -.66,   -.22,   1.41,   1.22,    .63,   1.14,    .89,   20.1,   32.2,
       45,      00,   201701,   3.68,   24.8,    .63,    .63,   -2.1,  -1.12,      0,   1023,  -1.08,  -1.16,   -.76,    .45,    .34,    .64,    .77,   18.5,     31,
