StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       46,      00,   201601,   2.71,   27.6,   -.58,   -.58,   -.77,   -.58,      0,   1141,   -.56,    .28,   -.13,   -.36,    .08,    .79,    .23,   17.5,   37.8,
       46,      00,   201602,   3.69,   34.9,   -.24,   -.24,    .85,     .3,      0,    824,    .57,    -.1,    .48,    .16,    .67,    .99,    .15,   25.7,     44,
       46,      00,   201603,   2.57,   48.6,  -1.19,  -1.19,  -2.94,  -1.19,     10,    503,  -1.11,   -.43,   -.79,   -.48,   -.14,    .41,    .11,   36.4,   60.7,
       46,      00,   201604,   2.92,   52.9,  -1.51,  -1.51,  -1.32,  -1.51,      3,    346,   -.58,  -1.19,   -.72,   -.65,   -.67,   -.23,    .09,     39,   66.8,
       46,      00,   201605,   6.04,   59.5,    .81,    .81,   2.43,    .81,     36,    187,   1.19,    .58,   -.15,    .11,    .02,    .46,    .32,   48.6,   70.4,
       46,      00,   201606,    6.3,   69.5,   1.62,   1.62,   2.67,   1.62,    174,     16,   1.39,   1.77,   1.14,    .33,    .27,     .4,    .56,   57.5,   81.5,
       46,      00,   201607,      5,   73.7,    .03,   1.48,     .1,   1.46,    293,      1,    .17,   1.13,    1.6,    .59,    .37,    .14,    .72,   63.3,   84.1,
       46,      00,   201608,   3.65,   75.1,   -.44,    .89,  -1.32,     .1,    337,      0,   -.28,   -.15,    .68,    .29,    .45,    .33,    .69,   64.8,   85.4,
       46,      00,   201609,   2.88,   69.4,   -.87,   -.87,  -1.43,   -.87,    173,     20,   -.17,   -.38,   -.27,    .62,    .16,    .15,     .8,   56.5,   82.2,
       46,      00,   201610,   3.57,   57.4,   -.85,   -.85,   -.21,   -.85,     23,    240,    .47,    .16,   -.04,    .97,    .43,    .31,    .53,   45.5,   69.2,
       46,      00,   201611,   1.89,   45.6,  -1.52,  -1.52,  -2.26,  -1.52,      0,    565,    -.9,   -.18,   -.33,    .19,    .04,    .24,    .41,   33.5,   57.8,
       46,      00,   201612,   4.62,   35.6,    .51,   -.85,   1.53,    .04,      0,    897,    .92,    .05,    .22,   -.06,    .61,    .22,    .65,   27.1,   44.1,
       46,      00,   201701,   4.88,   37.6,   1.05,   1.05,   1.79,   1.05,      0,    835,    .97,   1.16,    .57,    .27,   1.06,    .59,    .95,   30.3,     45,
