StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       47,      00,   201601,    .84,   16.2,   3.32,   3.32,   -.25,   3.17,      0,   1433,   -.37,   2.67,   2.47,   1.55,   1.55,   1.09,    1.6,    8.6,   23.7,
       47,      00,   201602,    .84,   22.7,   2.91,   2.91,   -.21,   2.61,      0,   1111,   -.29,    -.6,   2.37,   1.62,   1.32,    1.2,    1.6,   14.3,     31,
       47,      00,   201603,      4,   36.8,   3.77,   3.77,   3.48,   3.77,      0,    832,    2.4,   1.92,   1.53,   2.89,   1.68,   1.96,   2.11,   27.6,     46,
       47,      00,   201604,   2.29,   42.9,   3.19,   3.19,   -.56,   2.92,      0,    635,   -.32,   1.39,   1.08,   2.98,   1.91,   1.99,    2.1,   32.6,   53.3,
       47,      00,   201605,    3.1,   56.1,   2.61,   2.61,   -.77,   1.97,     25,    279,   -.31,   -.49,    .72,   1.68,    1.9,   1.62,   1.76,   43.4,   68.8,
       47,      00,   201606,   5.43,   65.9,   2.87,   2.87,   1.59,   2.79,    121,     57,    .83,     .4,    .19,    .77,   2.18,   1.66,   1.28,   54.5,   77.3,
       47,      00,   201607,   5.26,   69.9,   3.45,   3.45,   2.63,   3.45,    210,     13,   1.16,   1.42,   1.01,   1.37,   2.61,   2.16,   1.75,   59.3,   80.6,
       47,      00,   201608,   5.35,   69.5,   3.84,   3.84,   2.22,   3.84,    209,     18,   1.13,   1.47,   1.82,   1.88,   2.56,   2.74,   1.97,   59.3,   79.7,
       47,      00,   201609,   5.96,   62.6,   4.43,   4.43,   2.97,   4.43,     72,     81,   1.36,   1.58,    1.7,   1.53,   2.01,   2.58,   2.51,   53.1,   72.2,
       47,      00,   201610,   2.98,   50.4,   4.38,   4.38,   1.22,   4.38,      6,    397,    .49,   1.27,    1.5,   1.77,      2,   2.71,   3.09,   40.5,   60.3,
       47,      00,   201611,   1.86,   41.6,   3.85,   3.85,   -.24,    3.7,      0,    653,    .05,    .34,   1.09,   1.98,   2.08,   2.55,   2.73,   32.1,   51.2,
       47,      00,   201612,   2.01,   19.9,   4.07,   4.07,   1.86,   4.07,      0,   1339,   1.07,    .53,    .66,   1.65,   1.64,   2.13,   2.26,   13.6,   26.2,
       47,      00,   201701,   2.03,   19.5,   4.36,   4.36,   2.11,   4.36,      0,   1319,    1.4,   1.69,    .99,    1.7,   2.02,   2.31,   2.58,   12.5,   26.4,
