StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       48,      00,   201601,    .87,   22.7,   -.96,   -.96,   -.71,   -.96,      0,   1283,   -.34,   -.07,    .05,    -.6,     .9,    .48,    .86,   12.5,   32.8,
       48,      00,   201602,    .81,     30,  -1.12,  -1.12,   -.78,  -1.12,      0,    957,   -.34,   -.54,    -.3,   -.65,   -.31,    .42,    .58,   19.1,     41,
       48,      00,   201603,      2,   34.5,    .16,   -.84,    .49,   -.41,      0,    924,   1.46,    .99,    .58,    .39,    .06,   1.03,    .66,   22.5,   46.4,
       48,      00,   201604,   2.52,   41.8,    .45,    .45,    .91,    .45,      0,    688,   1.14,   1.75,   1.41,   1.12,    .37,   1.47,   1.06,   30.1,   53.4,
       48,      00,   201605,   2.51,   47.8,    .82,    .82,   1.25,    .82,      1,    518,    .42,    .93,   1.38,   1.07,    .52,    .52,   1.24,   35.1,   60.5,
       48,      00,   201606,    .69,   63.8,   -.97,   -.97,   -2.9,   -.97,     95,    106,  -1.55,    -.6,    .01,    .16,    .15,   -.06,     .9,   47.5,   80.2,
       48,      00,   201607,     .7,   66.7,  -1.61,  -1.61,  -2.23,  -1.61,    133,     48,  -1.31,  -1.77,   -.97,   -.06,   -.09,   -.45,    .76,   50.6,   82.8,
       48,      00,   201608,    .84,   63.4,  -1.98,  -1.98,  -1.61,  -1.98,     62,     88,   -.29,  -1.06,   -1.6,   -.11,   -.25,   -.47,    .25,   47.4,   79.4,
       48,      00,   201609,   2.01,   55.3,    .56,  -1.21,   1.69,   -.36,     16,    278,   1.15,    .75,    .19,   -.01,    .12,    .13,    .31,   41.5,   69.1,
       48,      00,   201610,   1.83,   46.4,   -.74,   -.74,   1.05,     .6,      0,    541,   1.04,   1.41,   1.09,   -.06,    .55,    .48,    .76,   33.4,   59.4,
       48,      00,   201611,    .85,     37,  -1.31,  -1.31,  -1.94,   -.81,      0,    812,   -.33,    .67,   1.15,   -.33,    .53,    .38,    .58,   24.8,   49.2,
       48,      00,   201612,   1.84,   16.7,   -.58,   -.58,   1.77,    .66,      0,   1463,   1.84,    .98,   1.49,    .89,    .57,    .68,    .71,    5.6,   27.8,
       48,      00,   201701,    1.7,   16.5,    1.2,    1.2,   1.74,    1.2,      0,   1457,   1.46,   2.21,   1.54,   1.74,    .53,   1.07,   1.01,    6.2,   26.9,
