"ID","StateCode","YearMonth","pcp","tavg","tmax","tmin","AccidentCount"
1,"AK",201601,2.71,17.3,23.0,11.7,1
4,"AK",201604,2.3,33.4,42.1,24.7,1
14,"AL",201601,4.12,43.0,53.5,32.5,2
16,"AL",201603,5.66,59.6,71.3,47.9,1
17,"AL",201604,5.71,63.6,75.8,51.3,1
20,"AL",201607,4.36,81.8,92.6,71.0,1
21,"AL",201608,4.77,81.5,91.2,71.8,1
22,"AL",201609,1.78,78.5,90.7,66.2,1
23,"AL",201610,0.13,68.4,83.2,53.6,1
34,"AR",201608,7.6,79.9,88.4,71.4,1
38,"AR",201612,3.83,42.5,52.2,32.8,1
53,"CA",201601,6.44,44.6,52.9,36.2,1
54,"CA",201602,1.22,51.8,64.3,39.4,2
55,"CA",201603,4.93,52.6,63.8,41.3,2
56,"CA",201604,1.52,58.0,70.4,45.5,1
57,"CA",201605,0.76,62.2,74.8,49.7,3
58,"CA",201606,0.28,73.5,88.3,58.7,5
59,"CA",201607,0.06,76.8,91.9,61.7,2
60,"CA",201608,0.05,76.2,91.3,61.2,4
63,"CA",201611,2.28,52.8,63.8,41.8,2
67,"CO",201602,0.87,32.3,45.7,19.0,1
70,"CO",201605,2.11,50.8,64.1,37.4,1
72,"CO",201607,1.68,69.2,84.4,53.9,1
75,"CO",201610,0.49,51.8,67.3,36.2,1
119,"GA",201602,4.85,50.0,61.8,38.3,1
126,"GA",201609,3.45,77.6,89.0,66.2,1
132,"IA",201602,0.93,28.5,36.1,21.0,2
133,"IA",201603,2.31,42.4,52.8,32.0,2
135,"IA",201605,4.43,59.5,70.9,48.1,1
154,"ID",201611,1.45,38.8,48.3,29.3,1
157,"IL",201601,0.87,26.8,34.7,18.9,3
159,"IL",201603,3.41,47.3,57.0,37.6,1
162,"IL",201606,3.17,74.8,86.2,63.3,1
163,"IL",201607,7.02,75.7,85.0,66.4,1
167,"IL",201611,2.59,48.0,58.4,37.7,1
168,"IL",201612,1.42,28.9,36.1,21.7,1
170,"IN",201601,1.36,27.5,35.8,19.3,1
171,"IN",201602,2.78,34.0,42.8,25.1,1
173,"IN",201604,4.18,52.1,64.0,40.1,1
174,"IN",201605,3.56,60.6,71.5,49.7,2
176,"IN",201607,5.19,74.7,84.5,64.9,1
178,"IN",201609,3.67,69.9,81.2,58.6,1
181,"IN",201612,2.37,29.8,37.2,22.4,1
183,"KS",201601,0.49,32.0,42.7,21.3,3
184,"KS",201602,0.57,40.8,54.2,27.3,2
186,"KS",201604,5.63,56.3,69.5,43.1,3
187,"KS",201605,4.62,61.6,73.5,49.7,1
188,"KS",201606,2.34,77.5,90.6,64.5,1
189,"KS",201607,5.18,79.7,91.4,68.0,1
190,"KS",201608,4.98,76.4,87.7,65.2,1
192,"KS",201610,1.45,61.5,76.0,46.9,4
193,"KS",201611,0.48,49.9,63.8,35.9,1
196,"KY",201601,1.88,31.7,41.5,21.9,1
209,"LA",201601,4.38,48.8,59.0,38.6,2
210,"LA",201602,3.25,55.2,66.8,43.6,2
212,"LA",201604,6.62,68.2,77.9,58.6,3
213,"LA",201605,5.86,73.3,82.8,63.7,3
215,"LA",201607,4.95,83.8,93.0,74.5,2
216,"LA",201608,13.18,82.5,90.8,74.2,6
217,"LA",201609,3.32,80.2,89.8,70.6,1
218,"LA",201610,0.43,71.3,84.1,58.5,2
219,"LA",201611,3.0,62.2,74.3,50.1,3
220,"LA",201612,6.32,54.6,63.4,45.8,2
266,"MI",201606,2.48,64.7,77.0,52.3,1
276,"MN",201603,1.99,35.7,45.1,26.4,1
281,"MN",201608,5.39,68.2,78.9,57.5,1
283,"MN",201610,2.18,48.2,57.7,38.6,1
291,"MO",201605,5.84,62.7,73.8,51.7,1
292,"MO",201606,2.48,76.9,88.1,65.7,1
296,"MO",201610,2.3,62.1,73.6,50.7,1
297,"MO",201611,1.51,51.0,62.6,39.3,2
298,"MO",201612,1.3,32.4,41.8,22.9,2
300,"MS",201601,3.76,43.7,54.1,33.2,2
301,"MS",201602,5.61,51.0,62.6,39.4,1
302,"MS",201603,11.06,60.3,71.4,49.1,1
304,"MS",201605,2.57,70.6,81.7,59.5,1
307,"MS",201608,5.94,82.0,91.3,72.7,1
309,"MS",201610,0.55,69.2,83.9,54.6,1
317,"MT",201605,3.1,51.0,63.6,38.4,1
