Report Number,Supplemental Number,Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Operator Employee Injuries,Operator Contractor Injuries,Emergency Responder Injuries,Other Injuries,Public Injuries,All Injuries,Operator Employee Fatalities,Operator Contractor Fatalities,Emergency Responder Fatalities,Other Fatalities,Public Fatalities,All Fatalities,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
20160016,21194,2016,1/1/2016 11:00 AM,31684,PHILLIPS 66 PIPELINE LLC,BEAUMONT TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,,NEDERLAND,JEFFERSON,TX,29.991266,-93.987165,CORROSION,INTERNAL,0.59,,0.24,0.35,NO,NO,YES,1/1/2016 23:00,1/2/2016 22:15,0,,,,,,,,,,,,,9830,25,0,12945,0,0,22800
20160018,21087,2016,1/3/2016 6:13 PM,300,"PLAINS PIPELINE, L.P.",BRAHANEY JUNCTION STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,DENVER CITY,YOAKUM,TX,33.098846,-102.768494,OTHER OUTSIDE FORCE DAMAGE,INTENTIONAL DAMAGE,1850,,1600,250,NO,NO,YES,1/3/2016 17:10,1/5/2016 12:00,0,,,,,,,,,,,,,0,7500,30000,94450,320000,0,451950
20160017,21085,2016,1/4/2016 12:15 PM,31684,PHILLIPS 66 PIPELINE LLC,PR-01,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,,HUTCHINSON,TX,35.849254,-101.441487,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.35,0,0,0.35,NO,NO,NO,,,0,,,,,,,,,,,,,100,10,0,0,0,0,110
20160019,21542,2016,1/4/2016 1:10 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",MIDDLEBURY JCT.,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,,LEE ,IL,41.78788,-89.16688,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,1.8,,1.8,0,NO,NO,NO,,,0,,,,,,,,,,,,,490,200,0,84802,0,0,85492
20160025,21264,2016,1/5/2016 8:00 AM,15674,PLANTATION PIPE LINE CO,COLLINS TANK FARM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,COLLINS,COVINGTON,MS,31.635562,-89.517286,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,1.07,,1.07,0,NO,NO,NO,,,0,,,,,,,,,,,,,165000,45,0,0,50,30000,195095
20160026,22017,2016,1/8/2016 5:15 AM,26085,"PLAINS MARKETING, L.P.",CUSHING TERMINAL,ONSHORE,TANK,CRUDE OIL,,,CUSHING,LINCOLN,OK,35.94155,-96.73679,INCORRECT OPERATION,INCORRECT INSTALLATION,4,,4,0,NO,NO,YES,1/8/2016 5:15,1/8/2016 10:50,0,,,,,,,,,,,,,0,0,0,5000,3000,0,8000
20160022,21094,2016,1/8/2016 6:47 AM,300,"PLAINS PIPELINE, L.P.",CHINA GROVE,ONSHORE,TANK,CRUDE OIL,,,HERMLEIGH,SCURRY,TX,32.533257,-100.844335,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,200,,200,0,NO,NO,YES,1/8/2016 6:50,1/11/2016 9:23,0,,,,,,,,,,,,,6000,525,0,16400,0,0,22925
20160034,21885,2016,1/8/2016 8:29 AM,2552,COLONIAL PIPELINE CO,LINE 1 BATON ROUGE TO COLLINS,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,GREENSBURG,ST. HELENA,LA,30.92979,-90.82982,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",2853.5,,19.5,2834,NO,NO,YES,1/12/2016 14:16,1/14/2016 9:10,0,,,,,,,,,,,,,75000,360000,10000,75000,3680000,0,4200000
20160023,21095,2016,1/8/2016 2:15 PM,12470,MID - VALLEY PIPELINE CO,HEBRON STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,BURLINGTON,BOONE,KY,39.0355,-84.6902,CORROSION,INTERNAL,10,,10,0,NO,NO,NO,,,0,,,,,,,,,,,,,13430,0,0,30370,0,0,43800
20160030,21752,2016,1/11/2016 11:23 AM,31816,"MID-CONTINENT FRACTIONATION AND STORAGE, L.L.C.",CONWAY WEST,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,MCPHERSON,MCPHERSON,KS,38.37783053,-97.83460727,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,140,0,0,140,NO,NO,YES,1/11/2016 11:45,1/12/2016 6:30,0,,,,,,,,,,,,,10000,10160,0,26000,4000,0,50160
20160021,21093,2016,1/12/2016 3:20 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",WEST TULSA EXPLORER,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,TULSA,TULSA,OK,36.13064,-96.02448,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,11,,10,1,NO,NO,YES,1/12/2016 3:20,1/12/2016 16:00,0,,,,,,,,,,,,,2000,500,0,8000,12500,0,23000
20160035,21618,2016,1/12/2016 10:45 AM,2552,COLONIAL PIPELINE CO,PORT SOCONY DELIVERY,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,STATEN ISLAND,RICHMOND,NY,40.548003,-74.238058,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.31,,0.3,0.01,NO,NO,YES,1/12/2016 10:45,1/13/2016 7:00,0,,,,,,,,,,,,,1000,26,0,0,25000,0,26026
20160027,21199,2016,1/12/2016 11:40 AM,32147,MARATHON PIPE LINE LLC,GALVESTON BAY REFINERY - BAYTOWN 8 INCH,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,TEXAS CITY,GALVESTON ,TX,29.366003,-94.929943,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.2,0,0,0.2,NO,NO,YES,1/12/2016 11:43,1/15/2016 3:49,0,,,,,,,,,,,,,10,4,0,0,0,0,14
20160013,21070,2016,1/13/2016 6:30 AM,30829,ENTERPRISE CRUDE PIPELINE LLC,LYNCH STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,HOBBS,LEA,NM,32.53707,-103.52274,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2,,2,0,NO,NO,YES,1/13/2016 6:30,1/13/2016 12:00,0,,,,,,,,,,,,,3500,60,0,0,0,0,3560
20160020,21529,2016,1/13/2016 9:50 AM,30829,ENTERPRISE CRUDE PIPELINE LLC,HOBBS STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,HOBBS,LEA,NM,32.650659,-103.139764,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.5,,0.5,0,NO,NO,YES,1/13/2016 9:50,1/13/2016 15:00,0,,,,,,,,,,,,,1500,15,0,0,0,0,1515
20160036,21746,2016,1/13/2016 1:10 PM,31580,"MAGELLAN TERMINALS HOLDINGS, LP",CENTRAL CUSHING TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,PAYNE,OK,35.94498,-96.74822,CORROSION,INTERNAL,1,,1,0,NO,NO,NO,,,0,,,,,,,,,,,,,20000,100,0,411,0,0,20511
20160031,21535,2016,1/15/2016 4:30 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,BURDEN JUNCTION TO COFFEYVILLE,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,BUTANE,COFFEYVILLE,MONTGOMERY,KS,37.058121,-95.634147,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,169,238,20,149,NO,NO,YES,1/15/2016 9:57,1/29/2016 8:31,0,,,,,,,,,,,,,152000,8319,0,400000,0,2500,562819
20160024,21538,2016,1/15/2016 5:30 PM,30826,WILLIAMS FIELD SERVICES,OVERLAND PASS PIPELINE,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,,CARBON COUNTY,WY,41.6514111,-107.8231666,NATURAL FORCE DAMAGE,TEMPERATURE,1.1,0,0,1.1,NO,NO,YES,1/15/2016 17:30,1/15/2016 21:45,0,,,,,,,,,,,,,200,1000,0,0,0,0,1200
20160032,21287,2016,1/15/2016 7:00 PM,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",MORIARTY TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,MORIARTY,TORRANCE,NM,34.998458,-106.023817,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.24,,0,0.24,YES,NO,YES,1/15/2016 19:35,1/17/2016 13:05,0,,,,,,,,,,,,,108000,50,0,1000,5000,0,114050
20160055,21632,2016,1/17/2016 2:05 PM,39149,IMTT-BAYONNE,IMTT-BAYONNE,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,BAYONNE,HUDSON,NJ,40.661111,-74.110595,CORROSION,INTERNAL,519,,200,319,NO,NO,NO,,,0,,,,,,,,,,,,,0,19951,0,28000,10000,19951,77902
20160041,21133,2016,1/18/2016 10:15 AM,26134,EXXONMOBIL OIL CORP - WEST COAST,MIDWAY STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,KERN,CA,35.225037,-119.55979,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.48,,0.48,0,NO,NO,YES,1/18/2016 10:15,1/18/2016 12:00,0,,,,,,,,,,,,,0,0,0,500,0,0,500
20160042,21715,2016,1/19/2016 3:35 PM,31570,TESORO HIGH PLAINS PIPELINE COMPANY LLC,TESORO HIGH PLAINS PIPELINE,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,MCKENZIE,ND,47.86055,-103.9325,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1,,1,0,NO,NO,YES,1/19/2016 16:04,1/19/2016 18:38,0,,,,,,,,,,,,,2500,30,0,5000,0,0,7530
20160044,21142,2016,1/20/2016 7:25 AM,18718,SUNOCO PIPELINE L.P.,EAGLE POINT TANK FARM,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,WESTVILLE,GLOUCESTER,NJ,39.8653,-75.1379,NATURAL FORCE DAMAGE,TEMPERATURE,1.4,,1.4,0,NO,NO,NO,,,0,,,,,,,,,,,,,0,116,0,6000,7500,0,13616
20160033,21259,2016,1/20/2016 8:05 AM,9175,JAYHAWK PIPELINE LLC,FREES STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,BARTON,KS,38.623253,-98.533735,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.6,,0.75,0.85,NO,NO,NO,,,0,,,,,,,,,,,,,100,23,0,4883,5000,1600,11606
20160043,21137,2016,1/21/2016 3:34 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,OLTON STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,HALFWAY,HALE ,TX,34.217554,-102.031489,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1,3,0,1,NO,NO,NO,,,0,,,,,,,,,,,,,100,100,0,0,0,0,200
20160046,21820,2016,1/22/2016 9:00 AM,22430,WEST SHORE PIPELINE CO,DES PLAINES,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,ARLINGTON HEIGHTS,COOK,IL,42.024238,-87.950772,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1,,1,0,NO,NO,YES,1/22/2016 9:00,2/9/2016 7:30,0,,,,,,,,,,,,,7500,100,0,5000,10000,0,22600
20160219,21845,2016,1/22/2016 3:00 PM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",PASADENA,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,PASADENA,HARRIS,TX,29.72536,-95.20334,CORROSION,INTERNAL,485,,484,1,NO,NO,NO,,,0,,,,,,,,,,,,,71841,51000,0,39780,125658,807540,1095819
20160045,21466,2016,1/22/2016 4:30 PM,32109,"ONEOK NGL PIPELINE, LLC","ONEOK #1- 10"" LAKE COLORADO CITY TO CR 349 ",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,,NOLAN,TX,32.431944,-101.44,CORROSION,EXTERNAL,0.02,0,0,0.02,NO,NO,YES,1/23/2016 7:06,1/24/2016 16:30,0,,,,,,,,,,,,,75000,3,0,50,300,0,75353
20160040,21132,2016,1/22/2016 5:30 PM,2552,COLONIAL PIPELINE CO,PELHAM JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,PELHAM,SHELBY,AL,33.28207,-86.803177,CORROSION,EXTERNAL,2.67,,2.67,0,NO,NO,YES,1/22/2016 19:18,1/22/2016 22:00,0,,,,,,,,,,,,,100,200,0,5000,19000,0,24300
20160039,21129,2016,1/23/2016 7:10 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,BEAUMONT CRUDE TERMINAL,ONSHORE,TANK,CRUDE OIL,,,BEAUMONT,JEFFERSON,TX,30.008867,-94.054261,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,1,,1,0,NO,NO,NO,,,0,,,,,,,,,,,,,7000,25,0,0,18000,0,25025
20160098,21887,2016,1/23/2016 10:00 AM,11551,"DELEK LOGISTICS OPERATING, LLC.","PALINE PIPELINE COMPANY 10"" MAIN",ONSHORE,UNDERGROUND,CRUDE OIL,,,,TYLER,TX,30.6337,-94.21708,CORROSION,EXTERNAL,180,,160,20,NO,NO,NO,,,0,,,,,,,,,,,,,56130,1050,25000,169052,465186,20000,736418
20160054,21158,2016,1/26/2016 8:00 AM,31684,PHILLIPS 66 PIPELINE LLC,AM-10 / BORGER PRODUCTS TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,BORGER,HUTCHINSON,TX,35.719298,-101.353026,INCORRECT OPERATION,OTHER INCORRECT OPERATION,2.8,,2.8,0,NO,NO,NO,,,0,,,,,,,,,,,,,200,90,0,0,5000,0,5290
20160037,21353,2016,1/26/2016 8:35 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,SEYMOUR TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,SEYMOUR,JACKSON,IN,39.025364,-85.850245,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,533,,480,53,NO,NO,NO,,,0,,,,,,,,,,,,,5600,23722,0,0,120000,0,149322
20160057,21255,2016,1/26/2016 10:45 AM,31045,"GENESIS PIPELINE USA, L.P.",JAY STATION,ONSHORE,TANK,CRUDE OIL,,,JAY,SANTA ROSA,MS,30.958681,-87.179142,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,11,,11,0,NO,NO,NO,,,0,,,,,,,,,,,,,47000,352,40000,60000,30000,0,177352
20160050,21153,2016,1/27/2016 2:00 PM,2552,COLONIAL PIPELINE CO,GREENSBORO JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,GREENSBORO,GUILFORD,NC,36.06684,-79.93512,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,11,,11,0,NO,NO,NO,,,0,,,,,,,,,,,,,18000,700,0,17000,15000,0,50700
20160059,21427,2016,1/27/2016 2:04 PM,31570,TESORO HIGH PLAINS PIPELINE COMPANY LLC,TESORO HIGH PLAINS PIPELINE,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,MCKENZIE,ND,47.80327,-102.8791,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,22.1,,22.1,0,NO,NO,YES,1/28/2016 6:47,1/28/2016 18:26,0,,,,,,,,,,,,,0,0,0,15000,0,0,15000
